NUTS3;CODE
'AT112';'2413'
'AT112';'2421'
'AT112';'2422'
'AT112';'2423'
'AT112';'2424'
'AT112';'2425'
'AT112';'2443'
'AT112';'2462'
'AT112';'2473'
'AT112';'2474'
'AT112';'2475'
'AT112';'2485'
'AT112';'2491'
'AT121';'3122'
'AT121';'3214'
'AT121';'3221'
'AT121';'3232'
'AT121';'3233'
'AT121';'3240'
'AT121';'3241'
'AT121';'3242'
'AT121';'3243'
'AT121';'3244'
'AT121';'3250'
'AT121';'3251'
'AT121';'3252'
'AT121';'3253'
'AT121';'3254'
'AT121';'3261'
'AT121';'3262'
'AT121';'3263'
'AT121';'3264'
'AT121';'3270'
'AT121';'3281'
'AT121';'3282'
'AT121';'3283'
'AT121';'3291'
'AT121';'3292'
'AT121';'3293'
'AT121';'3294'
'AT121';'3295'
'AT121';'3300'
'AT121';'3304'
'AT121';'3311'
'AT121';'3312'
'AT121';'3313'
'AT121';'3314'
'AT121';'3321'
'AT121';'3322'
'AT121';'3323'
'AT121';'3324'
'AT121';'3325'
'AT121';'3331'
'AT121';'3332'
'AT121';'3333'
'AT121';'3340'
'AT121';'3341'
'AT121';'3342'
'AT121';'3343'
'AT121';'3344'
'AT121';'3345'
'AT121';'3350'
'AT121';'3351'
'AT121';'3352'
'AT121';'3353'
'AT121';'3354'
'AT121';'3355'
'AT121';'3361'
'AT121';'3362'
'AT121';'3363'
'AT121';'3364'
'AT121';'3365'
'AT121';'3370'
'AT121';'3371'
'AT121';'3372'
'AT121';'3373'
'AT121';'3374'
'AT121';'3375'
'AT121';'3376'
'AT121';'3380'
'AT121';'3381'
'AT121';'3382'
'AT121';'3383'
'AT121';'3390'
'AT121';'3392'
'AT121';'3393'
'AT121';'3642'
'AT121';'3644'
'AT121';'3650'
'AT121';'3652'
'AT121';'3653'
'AT121';'3654'
'AT121';'3660'
'AT121';'3661'
'AT121';'3662'
'AT121';'3663'
'AT121';'3671'
'AT121';'3672'
'AT121';'3680'
'AT121';'3681'
'AT121';'3683'
'AT121';'3684'
'AT121';'3691'
'AT121';'4300'
'AT121';'4303'
'AT121';'4392'
'AT121';'4431'
'AT121';'4432'
'AT121';'4441'
'AT121';'4482'
'AT123';'3032'
'AT123';'3033'
'AT123';'3034'
'AT123';'3040'
'AT123';'3041'
'AT123';'3051'
'AT123';'3052'
'AT123';'3053'
'AT123';'3061'
'AT123';'3062'
'AT123';'3071'
'AT123';'3072'
'AT123';'3073'
'AT123';'3074'
'AT123';'3100'
'AT123';'3104'
'AT123';'3105'
'AT123';'3107'
'AT123';'3109'
'AT123';'3110'
'AT123';'3121'
'AT123';'3123'
'AT123';'3124'
'AT123';'3125'
'AT123';'3130'
'AT123';'3131'
'AT123';'3133'
'AT123';'3134'
'AT123';'3140'
'AT123';'3141'
'AT123';'3142'
'AT123';'3143'
'AT123';'3144'
'AT123';'3150'
'AT123';'3151'
'AT123';'3200'
'AT123';'3202'
'AT123';'3203'
'AT123';'3204'
'AT123';'3205'
'AT123';'3211'
'AT123';'3212'
'AT123';'3213'
'AT123';'3231'
'AT123';'3384'
'AT123';'3385'
'AT123';'3386'
'AT124';'2084'
'AT124';'2091'
'AT124';'2093'
'AT124';'2094'
'AT124';'2095'
'AT124';'3485'
'AT124';'3491'
'AT124';'3492'
'AT124';'3493'
'AT124';'3494'
'AT124';'3495'
'AT124';'3500'
'AT124';'3506'
'AT124';'3508'
'AT124';'3511'
'AT124';'3512'
'AT124';'3521'
'AT124';'3522'
'AT124';'3524'
'AT124';'3525'
'AT124';'3531'
'AT124';'3532'
'AT124';'3533'
'AT124';'3541'
'AT124';'3542'
'AT124';'3543'
