NUTS3;CODE
'DK011';'1050'
'DK011';'1051'
'DK011';'1052'
'DK011';'1053'
'DK011';'1054'
'DK011';'1055'
'DK011';'1056'
'DK011';'1057'
'DK011';'1058'
'DK011';'1059'
'DK011';'1060'
'DK011';'1061'
'DK011';'1062'
'DK011';'1063'
'DK011';'1064'
'DK011';'1065'
'DK011';'1066'
'DK011';'1067'
'DK011';'1068'
'DK011';'1069'
'DK011';'1070'
'DK011';'1071'
'DK011';'1072'
'DK011';'1073'
'DK011';'1074'
'DK011';'1100'
'DK011';'1101'
'DK011';'1102'
'DK011';'1103'
'DK011';'1104'
'DK011';'1105'
'DK011';'1106'
'DK011';'1107'
'DK011';'1110'
'DK011';'1111'
'DK011';'1112'
'DK011';'1113'
'DK011';'1114'
'DK011';'1115'
'DK011';'1116'
'DK011';'1117'
'DK011';'1118'
'DK011';'1119'
'DK011';'1120'
'DK011';'1121'
'DK011';'1122'
'DK011';'1123'
'DK011';'1124'
'DK011';'1125'
'DK011';'1126'
'DK011';'1127'
'DK011';'1128'
'DK011';'1129'
'DK011';'1130'
'DK011';'1131'
'DK011';'1150'
'DK011';'1151'
'DK011';'1152'
'DK011';'1153'
'DK011';'1154'
'DK011';'1155'
'DK011';'1156'
'DK011';'1157'
'DK011';'1158'
'DK011';'1159'
'DK011';'1160'
'DK011';'1161'
'DK011';'1162'
'DK011';'1164'
'DK011';'1165'
'DK011';'1166'
'DK011';'1167'
'DK011';'1168'
'DK011';'1169'
'DK011';'1170'
'DK011';'1171'
'DK011';'1172'
'DK011';'1173'
'DK011';'1174'
'DK011';'1175'
'DK011';'1200'
'DK011';'1201'
'DK011';'1202'
'DK011';'1203'
'DK011';'1204'
'DK011';'1205'
'DK011';'1206'
'DK011';'1207'
'DK011';'1208'
'DK011';'1209'
'DK011';'1210'
'DK011';'1211'
'DK011';'1212'
'DK011';'1213'
'DK011';'1214'
'DK011';'1215'
'DK011';'1216'
'DK011';'1218'
'DK011';'1219'
'DK011';'1220'
'DK011';'1250'
'DK011';'1251'
'DK011';'1252'
'DK011';'1253'
'DK011';'1254'
'DK011';'1255'
'DK011';'1256'
'DK011';'1257'
'DK011';'1259'
'DK011';'1260'
'DK011';'1261'
'DK011';'1263'
'DK011';'1264'
'DK011';'1265'
'DK011';'1266'
'DK011';'1267'
'DK011';'1268'
'DK011';'1270'
'DK011';'1271'
'DK011';'1300'
'DK011';'1301'
'DK011';'1302'
'DK011';'1303'
'DK011';'1304'
'DK011';'1306'
'DK011';'1307'
'DK011';'1308'
'DK011';'1309'
'DK011';'1310'
'DK011';'1311'
'DK011';'1312'
'DK011';'1313'
'DK011';'1314'
'DK011';'1315'
'DK011';'1316'
'DK011';'1317'
'DK011';'1318'
'DK011';'1319'
'DK011';'1320'
'DK011';'1321'
'DK011';'1322'
'DK011';'1323'
'DK011';'1324'
'DK011';'1325'
'DK011';'1326'
'DK011';'1327'
'DK011';'1328'
'DK011';'1329'
'DK011';'1350'
'DK011';'1352'
'DK011';'1353'
'DK011';'1354'
'DK011';'1355'
'DK011';'1356'
'DK011';'1357'
'DK011';'1358'
'DK011';'1359'
'DK011';'1360'
'DK011';'1361'
'DK011';'1362'
'DK011';'1363'
'DK011';'1364'
'DK011';'1365'
'DK011';'1366'
'DK011';'1367'
'DK011';'1368'
'DK011';'1369'
'DK011';'1370'
'DK011';'1371'
'DK011';'1400'
'DK011';'1401'
'DK011';'1402'
'DK011';'1403'
'DK011';'1406'
'DK011';'1407'
'DK011';'1408'
'DK011';'1410'
'DK011';'1411'
'DK011';'1412'
'DK011';'1413'
'DK011';'1414'
'DK011';'1415'
'DK011';'1416'
'DK011';'1417'
'DK011';'1418'
'DK011';'1419'
'DK011';'1420'
'DK011';'1421'
'DK011';'1422'
'DK011';'1423'
'DK011';'1424'
'DK011';'1425'
'DK011';'1426'
'DK011';'1427'
'DK011';'1428'
'DK011';'1429'
'DK011';'1430'
'DK011';'1432'
'DK011';'1434'
'DK011';'1435'
'DK011';'1436'
'DK011';'1437'
'DK011';'1438'
'DK011';'1439'
'DK011';'1440'
'DK011';'1441'
'DK011';'1450'
'DK011';'1451'
'DK011';'1452'
'DK011';'1453'
'DK011';'1454'
'DK011';'1455'
'DK011';'1456'
'DK011';'1457'
'DK011';'1458'
'DK011';'1459'
'DK011';'1460'
'DK011';'1461'
'DK011';'1462'
'DK011';'1463'
'DK011';'1464'
'DK011';'1465'
'DK011';'1466'
'DK011';'1467'
'DK011';'1468'
'DK011';'1470'
'DK011';'1471'
'DK011';'1472'
'DK011';'1473'
'DK011';'1550'
'DK011';'1551'
'DK011';'1552'
'DK011';'1553'
'DK011';'1554'
'DK011';'1555'
'DK011';'1556'
'DK011';'1557'
'DK011';'1558'
'DK011';'1559'
'DK011';'1560'
'DK011';'1561'
'DK011';'1562'
'DK011';'1563'
'DK011';'1564'
'DK011';'1567'
'DK011';'1568'
'DK011';'1569'
'DK011';'1570'
'DK011';'1571'
'DK011';'1572'
'DK011';'1573'
'DK011';'1574'
'DK011';'1575'
'DK011';'1576'
'DK011';'1577'
'DK011';'1600'
'DK011';'1601'
'DK011';'1602'
'DK011';'1603'
'DK011';'1604'
'DK011';'1605'
'DK011';'1606'
'DK011';'1607'
'DK011';'1608'
'DK011';'1609'
'DK011';'1610'
'DK011';'1611'
'DK011';'1612'
