NUTS3;CODE
'EE008';'42001'
'EE008';'42002'
'EE008';'42003'
'EE008';'42004'
'EE008';'42005'
'EE008';'42006'
'EE008';'42007'
'EE008';'42101'
'EE008';'42102'
'EE008';'42103'
'EE008';'42104'
'EE008';'42106'
'EE008';'42107'
'EE008';'42108'
'EE008';'42109'
'EE008';'42110'
'EE008';'42111'
'EE008';'42112'
'EE008';'42113'
'EE008';'42114'
'EE008';'42115'
'EE008';'42116'
'EE008';'42117'
'EE008';'42118'
'EE008';'42119'
'EE008';'42120'
'EE008';'42122'
'EE008';'48001'
'EE008';'48003'
'EE008';'48004'
'EE008';'48005'
'EE008';'48006'
'EE008';'48007'
'EE008';'48008'
'EE008';'48010'
'EE008';'48011'
'EE008';'48012'
'EE008';'48013'
'EE008';'48014'
'EE008';'48015'
'EE008';'48016'
'EE008';'48017'
'EE008';'48018'
'EE008';'48019'
'EE008';'48020'
'EE008';'48021'
'EE008';'48022'
'EE008';'48023'
'EE008';'48024'
'EE008';'48025'
'EE008';'48026'
'EE008';'48027'
'EE008';'48028'
'EE008';'48029'
'EE008';'48030'
'EE008';'48031'
'EE008';'48032'
'EE008';'48103'
'EE008';'48104'
'EE008';'48105'
'EE008';'48106'
'EE008';'48202'
'EE008';'48203'
'EE008';'48204'
'EE008';'48205'
'EE008';'48206'
'EE008';'48207'
'EE008';'48208'
'EE008';'48209'
'EE008';'48210'
'EE008';'48211'
'EE008';'48212'
'EE008';'48213'
'EE008';'48214'
'EE008';'48215'
'EE008';'48216'
'EE008';'48217'
'EE008';'48218'
'EE008';'48219'
'EE008';'48220'
'EE008';'48221'
'EE008';'48222'
'EE008';'48223'
'EE008';'48224'
'EE008';'48303'
'EE008';'48304'
'EE008';'48305'
'EE008';'48306'
'EE008';'48307'
'EE008';'48308'
'EE008';'48309'
'EE008';'48405'
'EE008';'48406'
'EE008';'48407'
'EE008';'48409'
'EE008';'48410'
'EE008';'48411'
'EE008';'48412'
'EE008';'48413'
'EE008';'48414'
'EE008';'48415'
'EE008';'48416'
'EE008';'48417'
'EE008';'48418'
'EE008';'48419'
'EE008';'48420'
'EE008';'48421'
'EE008';'48422'
'EE008';'48423'
'EE008';'48424'
'EE008';'48425'
'EE008';'48426'
'EE008';'48427'
'EE008';'48428'
'EE008';'48429'
'EE008';'48430'
'EE008';'48431'
'EE008';'48432'
'EE008';'48433'
'EE008';'48434'
'EE008';'48435'
'EE008';'48436'
'EE008';'48437'
'EE008';'48438'
'EE008';'48439'
'EE008';'48440'
'EE008';'48441'
'EE008';'48443'
'EE008';'48444'
'EE008';'48445'
'EE008';'48446'
'EE008';'48501'
'EE008';'48502'
'EE008';'48503'
'EE008';'48505'
'EE008';'48506'
'EE008';'48507'
'EE008';'48508'
'EE008';'48509'
'EE008';'48510'
'EE008';'48511'
'EE008';'48512'
'EE008';'48513'
'EE008';'48514'
'EE008';'48515'
'EE008';'48516'
'EE008';'48517'
'EE008';'48518'
'EE008';'48519'
'EE008';'48520'
'EE008';'48521'
'EE008';'48522'
'EE008';'48523'
'EE008';'48524'
'EE008';'48525'
'EE008';'48526'
'EE008';'49002'
'EE008';'49003'
'EE008';'49004'
'EE008';'49005'
'EE008';'49006'
'EE008';'49007'
'EE008';'49008'
'EE008';'49009'
'EE008';'49010'
'EE008';'49011'
'EE008';'49012'
'EE008';'49013'
'EE008';'49014'
'EE008';'49103'
'EE008';'49104'
'EE008';'49105'
'EE008';'49106'
'EE008';'49107'
'EE008';'49108'
'EE008';'49109'
'EE008';'49110'
'EE008';'49111'
'EE008';'49112'
'EE008';'49113'
'EE008';'49114'
'EE008';'49115'
'EE008';'49116'
'EE008';'49117'
'EE008';'49118'
'EE008';'49119'
'EE008';'49120'
'EE008';'49121'
'EE008';'49122'
'EE008';'49123'
'EE008';'49124'
'EE008';'49125'
'EE008';'49126'
'EE008';'49127'
'EE008';'49201'
'EE008';'49203'
'EE008';'49204'
'EE008';'49205'
'EE008';'49206'
'EE008';'49207'
'EE008';'49208'
'EE008';'49209'
'EE008';'49210'
'EE008';'49211'
'EE008';'49212'
'EE008';'49213'
'EE008';'49216'
'EE008';'49217'
'EE008';'49218'
'EE008';'49219'
'EE008';'49220'
'EE008';'49221'
'EE008';'49222'
'EE008';'49223'
'EE008';'49224'
'EE008';'49225'
'EE008';'49226'
'EE008';'49227'
'EE008';'49228'
'EE008';'49303'
'EE008';'49304'
'EE008';'49305'
'EE008';'49306'
'EE008';'49307'
'EE008';'49308'
'EE008';'49309'
'EE008';'49310'
'EE008';'49311'
'EE008';'49312'
'EE008';'49313'
'EE008';'49314'
'EE008';'49315'
'EE008';'49316'
'EE008';'49317'
'EE008';'49318'
'EE008';'49319'
'EE008';'49320'
'EE008';'49321'
'EE008';'49322'
'EE008';'49323'
'EE008';'49324'
'EE008';'49403'
'EE008';'49404'
'EE008';'49405'
'EE008';'49406'
'EE008';'49407'
'EE008';'49408'
'EE008';'49409'
'EE008';'49410'
'EE008';'49411'
'EE008';'49412'
'EE008';'49413'
'EE008';'49414'
'EE008';'49415'
'EE008';'49416'
'EE008';'49417'
'EE008';'49418'
'EE008';'49419'
'EE008';'49420'
'EE008';'49421'
'EE008';'49422'
'EE008';'49423'
'EE008';'49425'
'EE008';'49426'
'EE008';'49502'
'EE008';'49503'
'EE008';'49504'
'EE008';'49505'
'EE008';'49506'
'EE008';'49507'
'EE008';'49508'
'EE008';'49509'
'EE008';'49603'
'EE008';'49604'
'EE008';'50050'
'EE008';'50090'
'EE008';'50091'
'EE008';'50093'
'EE008';'50096'
'EE008';'50103'
'EE008';'50104'
'EE008';'50105'
'EE008';'50106'
'EE008';'50107'
'EE008';'50108'
'EE008';'50109'
'EE008';'50110'
'EE008';'50111'
'EE008';'50112'
'EE008';'50113'
'EE008';'50114'
'EE008';'50115'
'EE008';'50303'
'EE008';'50304'
'EE008';'50403'
'EE008';'50404'
'EE008';'50405'
'EE008';'50406'
'EE008';'50407'
'EE008';'50408'
'EE008';'50409'
'EE008';'50410'
'EE008';'50411'
'EE008';'50412'
'EE008';'50413'
'EE008';'50414'
'EE008';'50415'
'EE008';'50416'
'EE008';'50417'
'EE008';'50501'
'EE008';'50601'
'EE008';'50603'
'EE008';'50604'
'EE008';'50605'
'EE008';'50606'
'EE008';'50607'
'EE008';'50703'
'EE008';'50704'
'EE008';'50705'
'EE008';'50706'
'EE008';'50707'
'EE008';'50708'
'EE008';'51001'
'EE008';'51003'
'EE008';'51004'
'EE008';'51005'
'EE008';'51006'
'EE008';'51007'
'EE008';'51008'
'EE008';'51009'
'EE008';'51010'
'EE008';'51011'
'EE008';'51017'
'EE008';'60103'
'EE008';'60104'
'EE008';'60201'
'EE008';'60202'
'EE008';'60203'
'EE008';'60204'
'EE008';'60205'
'EE008';'60206'
'EE008';'60207'
'EE008';'60208'
'EE008';'60209'
'EE008';'60210'
'EE008';'60211'
'EE008';'60212'
'EE008';'60213'
'EE008';'60214'
'EE008';'60215'
'EE008';'60216'
'EE008';'60217'
'EE008';'60218'
'EE008';'60220'
'EE008';'60221'
'EE008';'60222'
'EE008';'60223'
'EE008';'60224'
'EE008';'60225'
'EE008';'60226'
'EE008';'60227'
'EE008';'60228'
'EE008';'60229'
'EE008';'60230'
'EE008';'60231'
'EE008';'60232'
'EE008';'60302'
'EE008';'60303'
'EE008';'60304'
'EE008';'60305'
'EE008';'60306'
'EE008';'60403'
'EE008';'60404'
'EE008';'60405'
'EE008';'60406'
'EE008';'60407'
'EE008';'60408'
'EE008';'60409'
'EE008';'60410'
'EE008';'60411'
'EE008';'60412'
'EE008';'60413'
'EE008';'60414'
'EE008';'60415'
'EE008';'60416'
'EE008';'60417'
'EE008';'60418'
'EE008';'60419'
'EE008';'60420'
'EE008';'60421'
'EE008';'60422'
'EE008';'60423'
'EE008';'60424'
'EE008';'60425'
'EE008';'60426'
'EE008';'60427'
'EE008';'60428'
'EE008';'60429'
'EE008';'60431'
'EE008';'60432'
'EE008';'60502'
'EE008';'60503'
'EE008';'60504'
'EE008';'60505'
'EE008';'60506'
'EE008';'60507'
'EE008';'60508'
'EE008';'60509'
'EE008';'60510'
'EE008';'60511'
'EE008';'60512'
'EE008';'60513'
'EE008';'60514'
'EE008';'60515'
'EE008';'60516'
'EE008';'60517'
'EE008';'60518'
'EE008';'60519'
'EE008';'60520'
'EE008';'60521'
'EE008';'60522'
'EE008';'60523'
'EE008';'60524'
'EE008';'60525'
'EE008';'60526'
'EE008';'60527'
'EE008';'60528'
'EE008';'60529'
'EE008';'60530'
'EE008';'60531'
'EE008';'60532'
'EE008';'60533'
'EE008';'60534'
'EE008';'60535'
'EE008';'60536'
'EE008';'60537'
'EE008';'60538'
'EE008';'60539'
'EE008';'60540'
'EE008';'60541'
'EE008';'60542'
'EE008';'60543'
'EE008';'60545'
'EE008';'60546'
'EE008';'60547'
'EE008';'60548'
'EE008';'60549'
'EE008';'60602'
'EE008';'60603'
'EE008';'60604'
'EE008';'60605'
'EE008';'60606'
'EE008';'60608'
'EE008';'61001'
'EE008';'61002'
'EE008';'61003'
'EE008';'61004'
'EE008';'61005'
'EE008';'61006'
'EE008';'61007'
'EE008';'61008'
'EE008';'61009'
'EE008';'61010'
'EE008';'61011'
'EE008';'61012'
'EE008';'61013'
'EE008';'61014'
'EE008';'61015'
'EE008';'61016'
'EE008';'61017'
'EE008';'61102'
'EE008';'61103'
'EE008';'61104'
'EE008';'61105'
'EE008';'61106'
'EE008';'61107'
'EE008';'61108'
'EE008';'61109'
'EE008';'61110'
'EE008';'61111'
'EE008';'61112'
'EE008';'61113'
'EE008';'61114'
'EE008';'61115'
'EE008';'61116'
'EE008';'61117'
'EE008';'61118'
'EE008';'61119'
'EE008';'61120'
'EE008';'61202'
'EE008';'61203'
'EE008';'61204'
'EE008';'61205'
'EE008';'61206'
'EE008';'61207'
'EE008';'61208'
'EE008';'61209'
'EE008';'61210'
'EE008';'61211'
'EE008';'61212'
'EE008';'61213'
'EE008';'61214'
'EE008';'61215'
'EE008';'61216'
'EE008';'61217'
'EE008';'61301'
'EE008';'61302'
'EE008';'61303'
'EE008';'61304'
'EE008';'61305'
'EE008';'61306'
'EE008';'61307'
'EE008';'61308'
'EE008';'61309'
'EE008';'61311'
'EE008';'61312'
'EE008';'61313'
'EE008';'61314'
'EE008';'61315'
'EE008';'61316'
'EE008';'61317'
'EE008';'61318'
'EE008';'61319'
'EE008';'61401'
'EE008';'61402'
'EE008';'61403'
'EE008';'61404'
'EE008';'61405'
'EE008';'61406'
'EE008';'61407'
'EE008';'61408'
