NUTS3;CODE
'ES230';'26001'
'ES230';'26002'
'ES230';'26003'
'ES230';'26004'
'ES230';'26005'
'ES230';'26006'
'ES230';'26007'
'ES230';'26008'
'ES230';'26009'
'ES230';'26100'
'ES230';'26110'
'ES230';'26111'
'ES230';'26120'
'ES230';'26121'
'ES230';'26122'
'ES230';'26123'
'ES230';'26124'
'ES230';'26125'
'ES230';'26126'
'ES230';'26130'
'ES230';'26131'
'ES230';'26132'
'ES230';'26133'
'ES230';'26134'
'ES230';'26135'
'ES230';'26140'
'ES230';'26141'
'ES230';'26142'
'ES230';'26143'
'ES230';'26144'
'ES230';'26145'
'ES230';'26146'
'ES230';'26147'
'ES230';'26148'
'ES230';'26150'
'ES230';'26151'
'ES230';'26160'
'ES230';'26190'
'ES230';'26191'
'ES230';'26200'
'ES230';'26210'
'ES230';'26211'
'ES230';'26212'
'ES230';'26213'
'ES230';'26214'
'ES230';'26215'
'ES230';'26216'
'ES230';'26220'
'ES230';'26221'
'ES230';'26222'
'ES230';'26223'
'ES230';'26224'
'ES230';'26230'
'ES230';'26240'
'ES230';'26241'
'ES230';'26250'
'ES230';'26256'
'ES230';'26257'
'ES230';'26258'
'ES230';'26259'
'ES230';'26260'
'ES230';'26261'
'ES230';'26270'
'ES230';'26280'
'ES230';'26288'
'ES230';'26289'
'ES230';'26291'
'ES230';'26292'
'ES230';'26300'
'ES230';'26310'
'ES230';'26311'
'ES230';'26312'
'ES230';'26313'
'ES230';'26314'
'ES230';'26315'
'ES230';'26320'
'ES230';'26321'
'ES230';'26322'
'ES230';'26323'
'ES230';'26324'
'ES230';'26325'
'ES230';'26326'
'ES230';'26327'
'ES230';'26328'
'ES230';'26329'
'ES230';'26330'
'ES230';'26338'
'ES230';'26339'
'ES230';'26340'
'ES230';'26350'
'ES230';'26359'
'ES230';'26360'
'ES230';'26370'
'ES230';'26371'
'ES230';'26372'
'ES230';'26373'
'ES230';'26374'
'ES230';'26375'
'ES230';'26376'
'ES230';'26500'
'ES230';'26509'
'ES230';'26510'
'ES230';'26511'
'ES230';'26512'
'ES230';'26513'
'ES230';'26520'
'ES230';'26525'
'ES230';'26526'
'ES230';'26527'
'ES230';'26528'
'ES230';'26529'
'ES230';'26530'
'ES230';'26531'
'ES230';'26532'
'ES230';'26533'
'ES230';'26540'
'ES230';'26550'
'ES230';'26559'
'ES230';'26560'
'ES230';'26570'
'ES230';'26580'
'ES230';'26584'
'ES230';'26585'
'ES230';'26586'
'ES230';'26587'
'ES230';'26588'
'ES230';'26589'
'ES241';'22001'
'ES241';'22002'
'ES241';'22003'
'ES241';'22004'
'ES241';'22005'
'ES241';'22006'
'ES241';'22100'
'ES241';'22110'
'ES241';'22111'
'ES241';'22112'
'ES241';'22113'
'ES241';'22120'
'ES241';'22121'
'ES241';'22122'
'ES241';'22123'
'ES241';'22124'
'ES241';'22125'
'ES241';'22126'
'ES241';'22130'
'ES241';'22131'
'ES241';'22132'
'ES241';'22133'
'ES241';'22134'
'ES241';'22135'
'ES241';'22140'
'ES241';'22141'
'ES241';'22142'
'ES241';'22143'
'ES241';'22144'
'ES241';'22145'
'ES241';'22146'
'ES241';'22147'
'ES241';'22148'
'ES241';'22149'
'ES241';'22150'
'ES241';'22160'
'ES241';'22161'
'ES241';'22162'
'ES241';'22190'
'ES241';'22191'
'ES241';'22192'
'ES241';'22193'
'ES241';'22194'
'ES241';'22195'
'ES241';'22196'
'ES241';'22197'
'ES241';'22200'
'ES241';'22210'
'ES241';'22212'
'ES241';'22213'
'ES241';'22214'
'ES241';'22215'
'ES241';'22216'
'ES241';'22220'
'ES241';'22221'
'ES241';'22222'
'ES241';'22223'
'ES241';'22230'
'ES241';'22231'
'ES241';'22232'
'ES241';'22233'
'ES241';'22234'
'ES241';'22240'
'ES241';'22250'
'ES241';'22251'
'ES241';'22252'
'ES241';'22253'
'ES241';'22254'
'ES241';'22255'
'ES241';'22260'
'ES241';'22268'
'ES241';'22269'
'ES241';'22270'
'ES241';'22280'
'ES241';'22281'
'ES241';'22282'
'ES241';'22283'
'ES241';'22300'
'ES241';'22310'
'ES241';'22311'
'ES241';'22312'
'ES241';'22313'
'ES241';'22314'
'ES241';'22315'
'ES241';'22320'
'ES241';'22330'
'ES241';'22336'
'ES241';'22337'
'ES241';'22338'
'ES241';'22339'
'ES241';'22340'
'ES241';'22347'
'ES241';'22348'
'ES241';'22349'
'ES241';'22350'
'ES241';'22351'
'ES241';'22360'
'ES241';'22361'
'ES241';'22362'
'ES241';'22363'
'ES241';'22364'
'ES241';'22365'
'ES241';'22366'
'ES241';'22367'
'ES241';'22370'
'ES241';'22371'
'ES241';'22372'
'ES241';'22373'
'ES241';'22374'
'ES241';'22375'
'ES241';'22376'
'ES241';'22377'
'ES241';'22378'
'ES241';'22390'
'ES241';'22391'
'ES241';'22392'
'ES241';'22393'
'ES241';'22394'
'ES241';'22395'
'ES241';'22400'
'ES241';'22410'
'ES241';'22411'
'ES241';'22412'
'ES241';'22413'
'ES241';'22414'
'ES241';'22415'
'ES241';'22416'
'ES241';'22417'
'ES241';'22420'
'ES241';'22421'
'ES241';'22422'
'ES241';'22423'
'ES241';'22424'
