NUTS3;CODE
'FI197';'14960'
'FI197';'14980'
'FI197';'31140'
'FI197';'31160'
'FI197';'31700'
'FI197';'31720'
'FI197';'31730'
'FI197';'31750'
'FI197';'31760'
'FI197';'31761'
'FI197';'31810'
'FI197';'31830'
'FI197';'31850'
'FI197';'31860'
'FI197';'31900'
'FI197';'31930'
'FI197';'31950'
'FI197';'31970'
'FI197';'32730'
'FI197';'32740'
'FI197';'33100'
'FI197';'33101'
'FI197';'33180'
'FI197';'33200'
'FI197';'33210'
'FI197';'33230'
'FI197';'33231'
'FI197';'33240'
'FI197';'33250'
'FI197';'33270'
'FI197';'33300'
'FI197';'33310'
'FI197';'33330'
'FI197';'33340'
'FI197';'33380'
'FI197';'33400'
'FI197';'33410'
'FI197';'33420'
'FI197';'33430'
'FI197';'33450'
'FI197';'33470'
'FI197';'33480'
'FI197';'33500'
'FI197';'33520'
'FI197';'33530'
'FI197';'33540'
'FI197';'33560'
'FI197';'33580'
'FI197';'33610'
'FI197';'33680'
'FI197';'33700'
'FI197';'33710'
'FI197';'33720'
'FI197';'33730'
'FI197';'33731'
'FI197';'33800'
'FI197';'33820'
'FI197';'33840'
'FI197';'33850'
'FI197';'33870'
'FI197';'33880'
'FI197';'33900'
'FI197';'33920'
'FI197';'33950'
'FI197';'33960'
'FI197';'33980'
'FI197';'34110'
'FI197';'34130'
'FI197';'34140'
'FI197';'34150'
'FI197';'34180'
'FI197';'34240'
'FI197';'34260'
'FI197';'34270'
'FI197';'34300'
'FI197';'34301'
'FI197';'34320'
'FI197';'34330'
'FI197';'34410'
'FI197';'34420'
'FI197';'34430'
'FI197';'34450'
'FI197';'34510'
'FI197';'34530'
'FI197';'34550'
'FI197';'34600'
'FI197';'34640'
'FI197';'34710'
'FI197';'34730'
'FI197';'34740'
'FI197';'34770'
'FI197';'34800'
'FI197';'34870'
'FI197';'34910'
'FI197';'34930'
'FI197';'34950'
'FI197';'34970'
'FI197';'34980'
'FI197';'35100'
'FI197';'35220'
'FI197';'35240'
'FI197';'35260'
'FI197';'35270'
'FI197';'35300'
'FI197';'35301'
'FI197';'35320'
'FI197';'35420'
'FI197';'35480'
'FI197';'35500'
'FI197';'35520'
'FI197';'35530'
'FI197';'35540'
'FI197';'35550'
'FI197';'35700'
'FI197';'35740'
'FI197';'35750'
'FI197';'35800'
'FI197';'35990'
'FI197';'36100'
'FI197';'36110'
'FI197';'36120'
'FI197';'36200'
'FI197';'36220'
'FI197';'36240'
'FI197';'36270'
'FI197';'36280'
'FI197';'36340'
'FI197';'36420'
'FI197';'36430'
'FI197';'36450'
'FI197';'36520'
'FI197';'36570'
'FI197';'36600'
'FI197';'36640'
'FI197';'36660'
'FI197';'36720'
'FI197';'36760'
'FI197';'36810'
'FI197';'36840'
'FI197';'36880'
'FI197';'36910'
'FI197';'36930'
'FI197';'37100'
'FI197';'37120'
'FI197';'37130'
'FI197';'37140'
'FI197';'37150'
'FI197';'37180'
'FI197';'37200'
'FI197';'37210'
'FI197';'37240'
'FI197';'37310'
'FI197';'37350'
'FI197';'37370'
'FI197';'37380'
'FI197';'37420'
'FI197';'37470'
'FI197';'37500'
'FI197';'37530'
'FI197';'37550'
'FI197';'37560'
'FI197';'37570'
'FI197';'37600'
'FI197';'37630'
'FI197';'37700'
'FI197';'37720'
'FI197';'37740'
'FI197';'37770'
'FI197';'37800'
'FI197';'37830'
'FI197';'37850'
'FI197';'37860'
'FI197';'37900'
'FI197';'37910'
'FI197';'37960'
'FI197';'38100'
'FI197';'38120'
'FI197';'38130'
'FI197';'38140'
'FI197';'38200'
'FI197';'38201'
'FI197';'38210'
'FI197';'38220'
'FI197';'38250'
'FI197';'38270'
'FI197';'38280'
'FI197';'38300'
'FI197';'38360'
'FI197';'38420'
'FI197';'38460'
'FI197';'38470'
'FI197';'38490'
'FI197';'38510'
'FI197';'39100'
'FI197';'39101'
'FI197';'39110'
'FI197';'39130'
'FI197';'39150'
'FI197';'39160'
'FI197';'39170'
'FI197';'39180'
'FI197';'39195'
'FI197';'39200'
'FI197';'39230'
'FI197';'39290'
'FI197';'39310'
'FI197';'39340'
'FI197';'39360'
'FI197';'39380'
'FI197';'39410'
'FI197';'39430'
'FI197';'39450'
'FI197';'39500'
'FI197';'39501'
'FI197';'39530'
'FI197';'39580'
'FI197';'39590'
'FI197';'39610'
'FI197';'39620'
'FI197';'39660'
'FI197';'39700'
'FI197';'39750'
'FI197';'39770'
'FI197';'39780'
'FI197';'39810'
'FI197';'39820'
'FI197';'39880'
'FI197';'42830'
'FI197';'42840'
'FI197';'42850'
'FI197';'42870'
'FI1C5';'46530'
'FI1C5';'53100'
'FI1C5';'53130'
'FI1C5';'53200'
'FI1C5';'53300'
'FI1C5';'53400'
'FI1C5';'53420'
'FI1C5';'53500'
'FI1C5';'53550'
'FI1C5';'53600'
'FI1C5';'53650'
'FI1C5';'53810'
'FI1C5';'53830'
'FI1C5';'53850'
'FI1C5';'53900'
'FI1C5';'53920'
'FI1C5';'53950'
'FI1C5';'54100'
'FI1C5';'54101'
'FI1C5';'54110'
'FI1C5';'54120'
'FI1C5';'54190'
'FI1C5';'54230'
'FI1C5';'54250'
'FI1C5';'54260'
'FI1C5';'54270'
'FI1C5';'54300'
'FI1C5';'54310'
'FI1C5';'54330'
'FI1C5';'54390'
'FI1C5';'54410'
'FI1C5';'54430'
'FI1C5';'54460'
'FI1C5';'54490'
'FI1C5';'54500'
'FI1C5';'54510'
'FI1C5';'54530'
'FI1C5';'54550'
'FI1C5';'54580'
'FI1C5';'54590'
'FI1C5';'54710'
'FI1C5';'54720'
'FI1C5';'54750'
'FI1C5';'54770'
'FI1C5';'54800'
'FI1C5';'54820'
'FI1C5';'54850'
'FI1C5';'54915'
'FI1C5';'54920'
'FI1C5';'54930'
'FI1C5';'54940'
'FI1C5';'54950'
'FI1C5';'54960'
'FI1C5';'55100'
'FI1C5';'55120'
'FI1C5';'55300'
'FI1C5';'55320'
'FI1C5';'55330'
'FI1C5';'55400'
'FI1C5';'55420'
'FI1C5';'55510'
'FI1C5';'55610'
'FI1C5';'55700'
'FI1C5';'55800'
'FI1C5';'55910'
'FI1C5';'56100'
'FI1C5';'56120'
'FI1C5';'56140'
'FI1C5';'56210'
'FI1C5';'56310'
'FI1C5';'56330'
'FI1C5';'56350'
'FI1C5';'56410'
'FI1C5';'56440'
'FI1C5';'56510'
'FI1C5';'56550'
'FI1C5';'56610'
'FI1C5';'56640'
'FI1C5';'56710'
'FI1C5';'56730'
'FI1C5';'56800'
'FI1C5';'59100'
'FI1C5';'59130'
'FI1C5';'59210'
'FI1C5';'59310'
'FI1C5';'59320'
'FI1C5';'59410'
'FI1C5';'59510'
'FI1C5';'59520'
'FI1C5';'59530'
'FI1C5';'59610'
'FI1C5';'59710'
'FI1C5';'59720'
'FI1C5';'59730'
'FI1D9';'68100'
'FI1D9';'68150'
'FI1D9';'69101'
'FI1D9';'84100'
'FI1D9';'84460'
'FI1D9';'84540'
'FI1D9';'84650'
'FI1D9';'84770'
'FI1D9';'84880'
'FI1D9';'85100'
'FI1D9';'85101'
'FI1D9';'85120'
'FI1D9';'85140'
'FI1D9';'85150'
'FI1D9';'85160'
'FI1D9';'85180'
'FI1D9';'85200'
'FI1D9';'85210'
'FI1D9';'85230'
'FI1D9';'85310'
'FI1D9';'85320'
'FI1D9';'85340'
'FI1D9';'85410'
'FI1D9';'85430'
'FI1D9';'85450'
'FI1D9';'85470'
'FI1D9';'85500'
'FI1D9';'85501'
'FI1D9';'85540'
'FI1D9';'85560'
'FI1D9';'85580'
'FI1D9';'85620'
'FI1D9';'85630'
'FI1D9';'85640'
'FI1D9';'85660'
'FI1D9';'85710'
'FI1D9';'85730'
'FI1D9';'85800'
'FI1D9';'85801'
'FI1D9';'85820'
'FI1D9';'85840'
'FI1D9';'85900'
'FI1D9';'85930'
'FI1D9';'85940'
'FI1D9';'85980'
'FI1D9';'86100'
'FI1D9';'86110'
'FI1D9';'86160'
'FI1D9';'86170'
'FI1D9';'86210'
'FI1D9';'86220'
'FI1D9';'86230'
'FI1D9';'86240'
'FI1D9';'86300'
'FI1D9';'86301'
'FI1D9';'86350'
'FI1D9';'86360'
'FI1D9';'86400'
'FI1D9';'86440'
'FI1D9';'86460'
'FI1D9';'86470'
'FI1D9';'86480'
'FI1D9';'86510'
'FI1D9';'86530'
'FI1D9';'86550'
'FI1D9';'86600'
