NUTS3;CODE
'IS001';'101'
'IS001';'102'
'IS001';'103'
'IS001';'104'
'IS001';'105'
'IS001';'107'
'IS001';'108'
'IS001';'109'
'IS001';'110'
'IS001';'111'
'IS001';'112'
'IS001';'113'
'IS001';'116'
'IS001';'161'
'IS001';'162'
'IS001';'170'
'IS001';'200'
'IS001';'201'
'IS001';'203'
'IS001';'206'
'IS001';'210'
'IS001';'220'
'IS001';'221'
'IS001';'225'
'IS002';'190'
'IS002';'191'
'IS002';'230'
'IS002';'233'
'IS002';'235'
'IS002';'240'
'IS002';'241'
'IS002';'245'
'IS002';'246'
'IS002';'250'
'IS002';'251'
