NUTS3;CODE
'ITC13';'13811'
'ITC13';'13812'
'ITC13';'13814'
'ITC13';'13815'
'ITC13';'13816'
'ITC13';'13817'
'ITC13';'13818'
'ITC13';'13821'
'ITC13';'13822'
'ITC13';'13823'
'ITC13';'13824'
'ITC13';'13825'
'ITC13';'13831'
'ITC13';'13833'
'ITC13';'13834'
'ITC13';'13835'
'ITC13';'13836'
'ITC13';'13841'
'ITC13';'13843'
'ITC13';'13844'
'ITC13';'13845'
'ITC13';'13847'
'ITC13';'13848'
'ITC13';'13851'
'ITC13';'13852'
'ITC13';'13853'
'ITC13';'13854'
'ITC13';'13855'
'ITC13';'13856'
'ITC13';'13861'
'ITC13';'13862'
'ITC13';'13863'
'ITC13';'13864'
'ITC13';'13865'
'ITC13';'13866'
'ITC13';'13867'
'ITC13';'13868'
'ITC13';'13871'
'ITC13';'13872'
'ITC13';'13873'
'ITC13';'13874'
'ITC13';'13875'
'ITC13';'13876'
'ITC13';'13877'
'ITC13';'13878'
'ITC13';'13881'
'ITC13';'13882'
'ITC13';'13883'
'ITC13';'13884'
'ITC13';'13885'
'ITC13';'13886'
'ITC13';'13887'
'ITC13';'13888'
'ITC13';'13891'
'ITC13';'13893'
'ITC13';'13894'
'ITC13';'13895'
'ITC13';'13896'
'ITC13';'13897'
'ITC13';'13898'
'ITC13';'13899'
'ITC13';'13900'
'ITC20';'11010'
'ITC20';'11012'
'ITC20';'11017'
'ITC20';'11020'
'ITC20';'11021'
'ITC20';'11024'
'ITC20';'11025'
'ITC20';'11026'
'ITC20';'11027'
'ITC20';'11028'
'ITC20';'11029'
'ITC20';'11100'
'ITC43';'23801'
'ITC43';'23802'
'ITC43';'23804'
'ITC43';'23805'
'ITC43';'23806'
'ITC43';'23807'
'ITC43';'23808'
'ITC43';'23811'
'ITC43';'23813'
'ITC43';'23814'
'ITC43';'23815'
'ITC43';'23816'
'ITC43';'23817'
'ITC43';'23818'
'ITC43';'23819'
'ITC43';'23821'
'ITC43';'23822'
'ITC43';'23823'
'ITC43';'23824'
'ITC43';'23825'
'ITC43';'23826'
'ITC43';'23827'
'ITC43';'23828'
'ITC43';'23829'
'ITC43';'23831'
'ITC43';'23832'
'ITC43';'23833'
'ITC43';'23834'
'ITC43';'23835'
'ITC43';'23836'
'ITC43';'23837'
'ITC43';'23838'
'ITC43';'23841'
'ITC43';'23842'
'ITC43';'23843'
'ITC43';'23844'
'ITC43';'23845'
'ITC43';'23846'
'ITC43';'23847'
'ITC43';'23848'
'ITC43';'23849'
'ITC43';'23851'
'ITC43';'23852'
'ITC43';'23854'
'ITC43';'23855'
'ITC43';'23857'
'ITC43';'23861'
