NUTS3;CODE
'LV005';'LV-4501'
'LV005';'LV-4561'
'LV005';'LV-4562'
'LV005';'LV-4566'
'LV005';'LV-4567'
'LV005';'LV-4570'
'LV005';'LV-4571'
'LV005';'LV-4572'
'LV005';'LV-4573'
'LV005';'LV-4574'
'LV005';'LV-4576'
'LV005';'LV-4577'
'LV005';'LV-4580'
'LV005';'LV-4582'
'LV005';'LV-4583'
'LV005';'LV-4584'
'LV005';'LV-4585'
'LV005';'LV-4586'
'LV005';'LV-4587'
'LV005';'LV-4590'
'LV005';'LV-4591'
'LV005';'LV-4592'
'LV005';'LV-4594'
'LV005';'LV-4595'
'LV005';'LV-4601'
'LV005';'LV-4604'
'LV005';'LV-4611'
'LV005';'LV-4612'
'LV005';'LV-4614'
'LV005';'LV-4615'
'LV005';'LV-4616'
'LV005';'LV-4617'
'LV005';'LV-4618'
'LV005';'LV-4619'
'LV005';'LV-4621'
'LV005';'LV-4622'
'LV005';'LV-4623'
'LV005';'LV-4625'
'LV005';'LV-4626'
'LV005';'LV-4627'
'LV005';'LV-4628'
'LV005';'LV-4630'
'LV005';'LV-4631'
'LV005';'LV-4633'
'LV005';'LV-4634'
'LV005';'LV-4635'
'LV005';'LV-4636'
'LV005';'LV-4638'
'LV005';'LV-4640'
'LV005';'LV-4641'
'LV005';'LV-4642'
'LV005';'LV-4643'
'LV005';'LV-4645'
'LV005';'LV-4647'
'LV005';'LV-4648'
'LV005';'LV-4649'
'LV005';'LV-4650'
'LV005';'LV-4652'
'LV005';'LV-5216'
'LV005';'LV-5301'
'LV005';'LV-5304'
'LV005';'LV-5305'
'LV005';'LV-5311'
'LV005';'LV-5312'
'LV005';'LV-5315'
'LV005';'LV-5316'
'LV005';'LV-5318'
'LV005';'LV-5320'
'LV005';'LV-5323'
'LV005';'LV-5325'
'LV005';'LV-5326'
'LV005';'LV-5327'
'LV005';'LV-5328'
'LV005';'LV-5329'
'LV005';'LV-5330'
'LV005';'LV-5331'
'LV005';'LV-5333'
'LV005';'LV-5334'
'LV005';'LV-5335'
'LV005';'LV-5337'
'LV005';'LV-5401'
'LV005';'LV-5404'
'LV005';'LV-5410'
'LV005';'LV-5412'
'LV005';'LV-5413'
'LV005';'LV-5414'
'LV005';'LV-5415'
'LV005';'LV-5417'
'LV005';'LV-5418'
'LV005';'LV-5422'
'LV005';'LV-5438'
'LV005';'LV-5439'
'LV005';'LV-5440'
'LV005';'LV-5441'
'LV005';'LV-5442'
'LV005';'LV-5443'
'LV005';'LV-5444'
'LV005';'LV-5447'
'LV005';'LV-5449'
'LV005';'LV-5450'
'LV005';'LV-5451'
'LV005';'LV-5456'
'LV005';'LV-5458'
'LV005';'LV-5459'
'LV005';'LV-5460'
'LV005';'LV-5461'
'LV005';'LV-5462'
'LV005';'LV-5463'
'LV005';'LV-5465'
'LV005';'LV-5469'
'LV005';'LV-5470'
'LV005';'LV-5471'
'LV005';'LV-5473'
'LV005';'LV-5474'
'LV005';'LV-5477'
'LV005';'LV-5481'
'LV005';'LV-5601'
'LV005';'LV-5651'
'LV005';'LV-5652'
'LV005';'LV-5653'
'LV005';'LV-5655'
'LV005';'LV-5656'
'LV005';'LV-5660'
'LV005';'LV-5662'
'LV005';'LV-5664'
'LV005';'LV-5666'
'LV005';'LV-5668'
'LV005';'LV-5671'
'LV005';'LV-5674'
'LV005';'LV-5676'
'LV005';'LV-5677'
'LV005';'LV-5680'
'LV005';'LV-5681'
'LV005';'LV-5685'
'LV005';'LV-5687'
'LV005';'LV-5692'
'LV005';'LV-5695'
'LV005';'LV-5696'
'LV005';'LV-5697'
'LV005';'LV-5698'
'LV005';'LV-5701'
'LV005';'LV-5704'
'LV005';'LV-5705'
'LV005';'LV-5706'
'LV005';'LV-5707'
'LV005';'LV-5709'
'LV005';'LV-5711'
'LV005';'LV-5716'
'LV005';'LV-5717'
'LV005';'LV-5719'
'LV005';'LV-5722'
'LV005';'LV-5725'
'LV005';'LV-5726'
'LV005';'LV-5729'
'LV005';'LV-5730'
'LV005';'LV-5732'
'LV005';'LV-5733'
'LV005';'LV-5735'
'LV005';'LV-5736'
'LV005';'LV-5737'
'LV005';'LV-5739'
'LV005';'LV-5740'
'LV005';'LV-5742'
'LV005';'LV-5745'
'LV005';'LV-5748'
'LV005';'LV-5750'
'LV005';'LV-5751'
'LV005';'LV-5752'
'LV006';'LV-1001'
'LV006';'LV-1002'
'LV006';'LV-1003'
'LV006';'LV-1004'
'LV006';'LV-1005'
'LV006';'LV-1006'
'LV006';'LV-1007'
'LV006';'LV-1009'
'LV006';'LV-1010'
'LV006';'LV-1011'
'LV006';'LV-1012'
'LV006';'LV-1013'
'LV006';'LV-1014'
'LV006';'LV-1015'
'LV006';'LV-1016'
'LV006';'LV-1019'
'LV006';'LV-1021'
'LV006';'LV-1023'
'LV006';'LV-1024'
'LV006';'LV-1026'
'LV006';'LV-1029'
'LV006';'LV-1030'
'LV006';'LV-1034'
'LV006';'LV-1035'
'LV006';'LV-1038'
'LV006';'LV-1039'
'LV006';'LV-1044'
'LV006';'LV-1045'
'LV006';'LV-1046'
'LV006';'LV-1048'
'LV006';'LV-1050'
'LV006';'LV-1053'
'LV006';'LV-1055'
'LV006';'LV-1057'
'LV006';'LV-1058'
'LV006';'LV-1063'
'LV006';'LV-1064'
'LV006';'LV-1067'
'LV006';'LV-1069'
'LV006';'LV-1073'
'LV006';'LV-1076'
'LV006';'LV-1079'
'LV006';'LV-1082'
'LV006';'LV-1083'
'LV006';'LV-1084'
'LV007';'LV-2008'
'LV007';'LV-2010'
'LV007';'LV-2011'
'LV007';'LV-2012'
'LV007';'LV-2015'
'LV007';'LV-2016'
'LV007';'LV-2101'
'LV007';'LV-2103'
'LV007';'LV-2105'
'LV007';'LV-2107'
'LV007';'LV-2108'
'LV007';'LV-2111'
'LV007';'LV-2112'
'LV007';'LV-2113'
'LV007';'LV-2114'
'LV007';'LV-2117'
'LV007';'LV-2118'
'LV007';'LV-2119'
'LV007';'LV-2121'
'LV007';'LV-2123'
'LV007';'LV-2124'
'LV007';'LV-2125'
'LV007';'LV-2127'
'LV007';'LV-2128'
'LV007';'LV-2130'
'LV007';'LV-2133'
'LV007';'LV-2135'
'LV007';'LV-2136'
'LV007';'LV-2137'
