NUTS3;CODE
'RO315';'927250'
'RO315';'927246'
'RO315';'927245'
'RO315';'927243'
'RO315';'927242'
'RO315';'927241'
'RO315';'927240'
'RO315';'927236'
'RO315';'927235'
'RO315';'927232'
'RO315';'927231'
'RO315';'927230'
'RO315';'927226'
'RO315';'927224'
'RO315';'927223'
'RO315';'927222'
'RO315';'927221'
'RO315';'927220'
'RO315';'927217'
'RO315';'927216'
'RO315';'927215'
'RO315';'927211'
'RO315';'927210'
'RO315';'927208'
'RO315';'927207'
'RO315';'927206'
'RO315';'927205'
'RO315';'927201'
'RO315';'927200'
'RO315';'927198'
'RO315';'927197'
'RO315';'927196'
'RO315';'927195'
'RO315';'927194'
'RO315';'927193'
'RO315';'927192'
'RO315';'927191'
'RO315';'927190'
'RO315';'927185'
'RO315';'927183'
'RO315';'927182'
'RO315';'927181'
'RO315';'927180'
'RO315';'927176'
'RO315';'927175'
'RO315';'927172'
'RO315';'927171'
'RO315';'927170'
'RO315';'927168'
'RO315';'927167'
'RO315';'927166'
'RO315';'927165'
'RO315';'927160'
'RO315';'927156'
'RO315';'927155'
'RO315';'927151'
'RO315';'927150'
'RO315';'927147'
'RO315';'927146'
'RO315';'927145'
'RO315';'927140'
'RO221';'927135'
'RO315';'927130'
'RO315';'927125'
'RO315';'927120'
'RO315';'927118'
'RO315';'927117'
'RO315';'927116'
'RO322';'927115'
'RO315';'927111'
'RO315';'927110'
'RO315';'927107'
'RO315';'927106'
'RO315';'927105'
'RO315';'927104'
'RO315';'927103'
'RO315';'927102'
'RO315';'927101'
'RO315';'927100'
'RO315';'927097'
'RO315';'927096'
'RO315';'927095'
'RO315';'927092'
'RO315';'927091'
'RO315';'927090'
'RO315';'927086'
'RO315';'927085'
'RO315';'927083'
'RO315';'927082'
'RO315';'927081'
'RO315';'927080'
'RO315';'927078'
'RO315';'927077'
'RO315';'927076'
'RO315';'927075'
'RO315';'927071'
'RO315';'927070'
'RO315';'927065'
'RO315';'927061'
'RO315';'927060'
'RO315';'927058'
'RO315';'927057'
'RO315';'927056'
'RO315';'927055'
'RO315';'927051'
'RO315';'927050'
'RO315';'927046'
'RO315';'927045'
'RO315';'927044'
'RO315';'927043'
'RO315';'927042'
'RO315';'927041'
'RO315';'927040'
'RO315';'927037'
'RO315';'927036'
'RO315';'927035'
'RO315';'927033'
'RO315';'927032'
'RO315';'927031'
'RO315';'927030'
'RO315';'927026'
'RO315';'927025'
'RO315';'927021'
'RO315';'927020'
'RO315';'927015'
'RO315';'927013'
'RO315';'927012'
'RO315';'927011'
'RO315';'927010'
'RO315';'927006'
'RO315';'927005'
'RO315';'925300'
'RO315';'925200'
'RO315';'925150'
'RO315';'925102'
'RO315';'925101'
'RO315';'925100'
'RO315';'920096'
'RO315';'920095'
'RO315';'920094'
'RO315';'920093'
'RO315';'920092'
'RO315';'920087'
'RO315';'920086'
'RO315';'920085'
'RO315';'920084'
'RO315';'920083'
'RO315';'920082'
'RO315';'920081'
'RO315';'920080'
'RO315';'920075'
'RO315';'920074'
'RO315';'920073'
'RO315';'920072'
'RO315';'920066'
'RO315';'920065'
'RO315';'920064'
'RO315';'920063'
'RO315';'920058'
'RO315';'920057'
'RO315';'920056'
'RO315';'920055'
'RO315';'920051'
'RO315';'920050'
'RO315';'920049'
'RO315';'920044'
'RO315';'920043'
'RO315';'920042'
'RO315';'920041'
'RO315';'920036'
'RO315';'920035'
'RO315';'920034'
'RO315';'920033'
'RO315';'920032'
'RO315';'920031'
'RO315';'920030'
'RO315';'920025'
'RO315';'920024'
'RO315';'920023'
'RO315';'920022'
'RO315';'920018'
'RO315';'920017'
'RO315';'920016'
'RO315';'920015'
'RO315';'920014'
'RO315';'920013'
'RO315';'920012'
'RO315';'920007'
'RO315';'920006'
'RO315';'920005'
'RO315';'920004'
'RO315';'920003'
'RO315';'920002'
'RO315';'920001'
'RO312';'917296'
'RO312';'917295'
'RO312';'917291'
'RO312';'917290'
'RO312';'917285'
'RO312';'917282'
'RO312';'917281'
'RO312';'917280'
'RO312';'917279'
'RO312';'917278'
'RO312';'917277'
'RO312';'917276'
'RO312';'917275'
'RO312';'917271'
