NUTS3;CODE
'RS110';'11000'
'RS110';'11031'
'RS110';'11080'
'RS110';'11130'
'RS110';'11194'
'RS110';'11211'
'RS110';'11212'
'RS110';'11213'
'RS110';'11215'
'RS110';'11223'
'RS110';'11224'
'RS110';'11225'
'RS110';'11226'
'RS110';'11232'
'RS110';'11233'
'RS110';'11235'
'RS110';'11251'
'RS110';'11253'
'RS110';'11260'
'RS110';'11261'
'RS110';'11262'
'RS110';'11271'
'RS110';'11272'
'RS110';'11275'
'RS110';'11276'
'RS110';'11277'
'RS110';'11279'
'RS110';'11280'
'RS110';'11283'
'RS110';'11306'
'RS110';'11307'
'RS110';'11308'
'RS110';'11309'
'RS110';'11351'
'RS110';'11400'
'RS110';'11405'
'RS110';'11406'
'RS110';'11408'
'RS110';'11409'
'RS110';'11412'
'RS110';'11413'
'RS110';'11414'
'RS110';'11415'
'RS110';'11426'
'RS110';'11427'
'RS110';'11430'
'RS110';'11433'
'RS110';'11450'
'RS110';'11453'
'RS110';'11454'
'RS110';'11460'
'RS110';'11461'
'RS110';'11462'
'RS110';'11467'
'RS110';'11500'
'RS110';'11504'
'RS110';'11505'
'RS110';'11506'
'RS110';'11507'
'RS110';'11508'
'RS110';'11509'
'RS110';'11550'
'RS110';'11560'
'RS110';'11561'
'RS110';'11562'
'RS110';'11563'
'RS110';'11564'
'RS110';'11565'
'RS110';'11566'
'RS110';'11567'
'RS121';'25101'
'RS121';'25210'
'RS121';'25211'
'RS121';'25212'
'RS121';'25220'
'RS121';'25221'
'RS121';'25222'
'RS121';'25223'
'RS121';'25224'
'RS121';'25225'
'RS121';'25230'
'RS121';'25232'
'RS121';'25233'
'RS121';'25234'
'RS121';'25240'
'RS121';'25242'
'RS121';'25243'
'RS121';'25244'
'RS121';'25245'
'RS121';'25250'
'RS121';'25252'
'RS121';'25253'
'RS121';'25254'
'RS121';'25255'
'RS121';'25260'
'RS121';'25262'
'RS121';'25263'
'RS121';'25264'
'RS121';'25265'
'RS121';'25270'
'RS121';'25272'
'RS121';'25274'
'RS121';'25275'
'RS121';'25280'
'RS121';'25282'
'RS121';'25283'
'RS121';'25284'
'RS122';'26101'
'RS122';'26201'
'RS122';'26202'
'RS122';'26203'
'RS122';'26204'
'RS122';'26205'
'RS122';'26206'
'RS122';'26207'
'RS122';'26210'
'RS122';'26212'
'RS122';'26213'
'RS122';'26214'
'RS122';'26215'
'RS122';'26216'
'RS122';'26220'
'RS122';'26222'
'RS122';'26223'
'RS122';'26224'
'RS122';'26225'
'RS122';'26226'
'RS122';'26227'
'RS122';'26228'
'RS122';'26229'
'RS122';'26230'
'RS122';'26232'
'RS122';'26233'
'RS122';'26234'
'RS122';'26300'
'RS122';'26310'
'RS122';'26314'
'RS122';'26315'
'RS122';'26316'
'RS122';'26320'
'RS122';'26322'
'RS122';'26323'
'RS122';'26324'
'RS122';'26327'
'RS122';'26328'
'RS122';'26329'
'RS122';'26330'
'RS122';'26331'
'RS122';'26332'
'RS122';'26333'
'RS122';'26334'
'RS122';'26335'
'RS122';'26336'
'RS122';'26337'
'RS122';'26338'
'RS122';'26340'
'RS122';'26343'
'RS122';'26344'
'RS122';'26345'
'RS122';'26346'
'RS122';'26347'
'RS122';'26348'
'RS122';'26349'
'RS122';'26350'
'RS122';'26351'
'RS122';'26352'
'RS122';'26353'
'RS122';'26354'
'RS122';'26360'
'RS122';'26361'
'RS122';'26362'
'RS122';'26363'
'RS122';'26364'
'RS122';'26365'
'RS122';'26366'
'RS122';'26367'
'RS122';'26368'
'RS122';'26370'
'RS122';'26371'
'RS122';'26373'
'RS123';'21102'
'RS123';'21131'
'RS123';'21201'
'RS123';'21203'
'RS123';'21205'
'RS123';'21207'
'RS123';'21208'
'RS123';'21209'
'RS123';'21211'
'RS123';'21212'
'RS123';'21213'
'RS123';'21214'
'RS123';'21215'
'RS123';'21216'
'RS123';'21217'
'RS123';'21220'
'RS123';'21225'
'RS123';'21226'
'RS123';'21227'
'RS123';'21230'
'RS123';'21233'
'RS123';'21234'
'RS123';'21235'
'RS123';'21236'
'RS123';'21237'
'RS123';'21238'
'RS123';'21239'
'RS123';'21240'
'RS123';'21241'
'RS123';'21242'
'RS123';'21243'
'RS123';'21244'
'RS123';'21245'
'RS123';'21246'
'RS123';'21247'
'RS123';'21248'
'RS123';'21299'
'RS123';'21300'
'RS123';'21311'
'RS123';'21312'
'RS123';'21313'
'RS123';'21314'
'RS123';'21315'
'RS123';'21400'
'RS123';'21410'
'RS123';'21411'
'RS123';'21412'
'RS123';'21413'
'RS123';'21420'
'RS123';'21421'
'RS123';'21422'
'RS123';'21423'
'RS123';'21424'
'RS123';'21425'
'RS123';'21426'
'RS123';'21427'
'RS123';'21428'
'RS123';'21429'
'RS123';'21431'
'RS123';'21432'
'RS123';'21433'
'RS123';'21434'
'RS123';'21460'
'RS123';'21465'
'RS123';'21466'
'RS123';'21467'
'RS123';'21468'
'RS123';'21469'
'RS123';'21470'
'RS123';'21471'
'RS123';'21472'
'RS123';'21473'
'RS123';'21480'
'RS125';'24000'
'RS125';'24104'
'RS125';'24206'
'RS125';'24210'
'RS125';'24211'
'RS125';'24213'
'RS125';'24214'
'RS125';'24215'
'RS125';'24217'
'RS125';'24220'
'RS125';'24222'
'RS125';'24223'
'RS125';'24224'
'RS125';'24300'
'RS125';'24308'
'RS125';'24309'
'RS125';'24311'
'RS125';'24312'
'RS125';'24313'
'RS125';'24321'
'RS125';'24322'
'RS125';'24323'
'RS125';'24330'
'RS125';'24331'
'RS125';'24340'
'RS125';'24341'
'RS125';'24342'
'RS125';'24343'
'RS125';'24344'
'RS125';'24351'
