NUTS3;CODE
'SI031';'9000'
'SI031';'9201'
'SI031';'9202'
'SI031';'9203'
'SI031';'9204'
'SI031';'9205'
'SI031';'9206'
'SI031';'9207'
'SI031';'9208'
'SI031';'9220'
'SI031';'9221'
'SI031';'9222'
'SI031';'9223'
'SI031';'9224'
'SI031';'9225'
'SI031';'9226'
'SI031';'9227'
'SI031';'9231'
'SI031';'9232'
'SI031';'9233'
'SI031';'9240'
'SI031';'9241'
'SI031';'9242'
'SI031';'9243'
'SI031';'9244'
'SI031';'9245'
'SI031';'9246'
'SI031';'9250'
'SI031';'9251'
'SI031';'9252'
'SI031';'9253'
'SI031';'9261'
'SI031';'9262'
'SI031';'9263'
'SI031';'9264'
'SI031';'9265'
'SI032';'2000'
'SI032';'2201'
'SI032';'2204'
'SI032';'2205'
'SI032';'2206'
'SI032';'2208'
'SI032';'2211'
'SI032';'2212'
'SI032';'2213'
'SI032';'2214'
'SI032';'2215'
'SI032';'2221'
'SI032';'2222'
'SI032';'2223'
'SI032';'2229'
'SI032';'2230'
'SI032';'2231'
'SI032';'2232'
'SI032';'2233'
'SI032';'2234'
'SI032';'2235'
'SI032';'2236'
'SI032';'2241'
'SI032';'2242'
'SI032';'2250'
'SI032';'2252'
'SI032';'2253'
'SI032';'2254'
'SI032';'2255'
'SI032';'2256'
'SI032';'2257'
'SI032';'2258'
'SI032';'2259'
'SI032';'2270'
'SI032';'2272'
'SI032';'2273'
'SI032';'2274'
'SI032';'2275'
'SI032';'2276'
'SI032';'2277'
'SI032';'2281'
'SI032';'2282'
'SI032';'2283'
'SI032';'2284'
'SI032';'2285'
'SI032';'2286'
'SI032';'2287'
'SI032';'2288'
'SI032';'2289'
'SI032';'2310'
'SI032';'2311'
'SI032';'2312'
'SI032';'2313'
'SI032';'2314'
'SI032';'2315'
'SI032';'2316'
'SI032';'2317'
'SI032';'2318'
'SI032';'2319'
'SI032';'2321'
'SI032';'2322'
'SI032';'2323'
'SI032';'2324'
