NUTS3;CODE
'UKM50';'AB10 1AB'
'UKM50';'AB10 1AF'
'UKM50';'AB10 1AG'
'UKM50';'AB10 1AH'
'UKM50';'AB10 1AL'
'UKM50';'AB10 1AN'
'UKM50';'AB10 1AP'
'UKM50';'AB10 1AQ'
'UKM50';'AB10 1AR'
'UKM50';'AB10 1AS'
'UKM50';'AB10 1AU'
'UKM50';'AB10 1AW'
'UKM50';'AB10 1AX'
'UKM50';'AB10 1BA'
'UKM50';'AB10 1BB'
'UKM50';'AB10 1BD'
'UKM50';'AB10 1BF'
'UKM50';'AB10 1BJ'
'UKM50';'AB10 1BL'
'UKM50';'AB10 1BQ'
'UKM50';'AB10 1BR'
'UKM50';'AB10 1BS'
'UKM50';'AB10 1BT'
'UKM50';'AB10 1BU'
'UKM50';'AB10 1BW'
'UKM50';'AB10 1BX'
'UKM50';'AB10 1BY'
'UKM50';'AB10 1BZ'
'UKM50';'AB10 1DA'
'UKM50';'AB10 1DB'
'UKM50';'AB10 1DD'
'UKM50';'AB10 1DQ'
'UKM50';'AB10 1FE'
'UKM50';'AB10 1FF'
'UKM50';'AB10 1FG'
'UKM50';'AB10 1FL'
'UKM50';'AB10 1FQ'
'UKM50';'AB10 1FR'
'UKM50';'AB10 1FT'
'UKM50';'AB10 1FX'
'UKM50';'AB10 1FY'
'UKM50';'AB10 1GF'
'UKM50';'AB10 1GS'
'UKM50';'AB10 1GZ'
'UKM50';'AB10 1HA'
'UKM50';'AB10 1HE'
'UKM50';'AB10 1HF'
'UKM50';'AB10 1HH'
'UKM50';'AB10 1HP'
'UKM50';'AB10 1HT'
'UKM50';'AB10 1HW'
'UKM50';'AB10 1JB'
'UKM50';'AB10 1JD'
'UKM50';'AB10 1JE'
'UKM50';'AB10 1JF'
'UKM50';'AB10 1JG'
'UKM50';'AB10 1JH'
'UKM50';'AB10 1JJ'
'UKM50';'AB10 1JL'
'UKM50';'AB10 1JN'
'UKM50';'AB10 1JP'
'UKM50';'AB10 1JQ'
'UKM50';'AB10 1JR'
'UKM50';'AB10 1JS'
'UKM50';'AB10 1JT'
'UKM50';'AB10 1JU'
'UKM50';'AB10 1JX'
'UKM50';'AB10 1JZ'
'UKM50';'AB10 1LB'
'UKM50';'AB10 1LP'
'UKM50';'AB10 1NJ'
'UKM50';'AB10 1NL'
'UKM50';'AB10 1NN'
'UKM50';'AB10 1NP'
'UKM50';'AB10 1NT'
'UKM50';'AB10 1NW'
'UKM50';'AB10 1PD'
'UKM50';'AB10 1PE'
'UKM50';'AB10 1PF'
'UKM50';'AB10 1PG'
'UKM50';'AB10 1PN'
'UKM50';'AB10 1PP'
'UKM50';'AB10 1PR'
'UKM50';'AB10 1PS'
'UKM50';'AB10 1PU'
'UKM50';'AB10 1PY'
'UKM50';'AB10 1QA'
'UKM50';'AB10 1QB'
'UKM50';'AB10 1QD'
'UKM50';'AB10 1QE'
'UKM50';'AB10 1QH'
'UKM50';'AB10 1QJ'
'UKM50';'AB10 1QL'
'UKM50';'AB10 1QN'
'UKM50';'AB10 1QQ'
'UKM50';'AB10 1QR'
'UKM50';'AB10 1QS'
'UKM50';'AB10 1QT'
'UKM50';'AB10 1QU'
'UKM50';'AB10 1QX'
'UKM50';'AB10 1QZ'
'UKM50';'AB10 1RA'
'UKM50';'AB10 1RB'
'UKM50';'AB10 1RD'
'UKM50';'AB10 1RE'
'UKM50';'AB10 1RG'
'UKM50';'AB10 1RH'
'UKM50';'AB10 1RJ'
'UKM50';'AB10 1RL'
'UKM50';'AB10 1RN'
'UKM50';'AB10 1RP'
'UKM50';'AB10 1RQ'
'UKM50';'AB10 1RR'
'UKM50';'AB10 1RS'
'UKM50';'AB10 1RT'
'UKM50';'AB10 1RU'
'UKM50';'AB10 1RW'
'UKM50';'AB10 1RX'
'UKM50';'AB10 1RY'
'UKM50';'AB10 1SA'
'UKM50';'AB10 1SB'
'UKM50';'AB10 1SD'
'UKM50';'AB10 1SE'
'UKM50';'AB10 1SH'
'UKM50';'AB10 1SJ'
'UKM50';'AB10 1SL'
'UKM50';'AB10 1SN'
'UKM50';'AB10 1SP'
'UKM50';'AB10 1SQ'
'UKM50';'AB10 1SR'
'UKM50';'AB10 1SS'
'UKM50';'AB10 1ST'
'UKM50';'AB10 1SU'
'UKM50';'AB10 1SY'
'UKM50';'AB10 1TA'
'UKM50';'AB10 1TB'
'UKM50';'AB10 1TD'
'UKM50';'AB10 1TE'
'UKM50';'AB10 1TF'
'UKM50';'AB10 1TH'
'UKM50';'AB10 1TJ'
'UKM50';'AB10 1TL'
'UKM50';'AB10 1TN'
'UKM50';'AB10 1TP'
'UKM50';'AB10 1TQ'
'UKM50';'AB10 1TR'
'UKM50';'AB10 1TS'
'UKM50';'AB10 1TT'
'UKM50';'AB10 1TW'
'UKM50';'AB10 1TX'
'UKM50';'AB10 1TY'
'UKM50';'AB10 1TZ'
'UKM50';'AB10 1UA'
'UKM50';'AB10 1UB'
'UKM50';'AB10 1UD'
'UKM50';'AB10 1UE'
'UKM50';'AB10 1UG'
'UKM50';'AB10 1UH'
'UKM50';'AB10 1UJ'
'UKM50';'AB10 1UL'
'UKM50';'AB10 1UN'
'UKM50';'AB10 1UP'
'UKM50';'AB10 1UQ'
'UKM50';'AB10 1UR'
'UKM50';'AB10 1US'
'UKM50';'AB10 1UT'
'UKM50';'AB10 1UU'
'UKM50';'AB10 1UW'
'UKM50';'AB10 1UX'
'UKM50';'AB10 1UY'
'UKM50';'AB10 1UZ'
'UKM50';'AB10 1WB'
'UKM50';'AB10 1WD'
'UKM50';'AB10 1WE'
'UKM50';'AB10 1WF'
'UKM50';'AB10 1WH'
'UKM50';'AB10 1WP'
'UKM50';'AB10 1WR'
'UKM50';'AB10 1WS'
'UKM50';'AB10 1XA'
'UKM50';'AB10 1XB'
'UKM50';'AB10 1XD'
'UKM50';'AB10 1XE'
'UKM50';'AB10 1XF'
'UKM50';'AB10 1XG'
'UKM50';'AB10 1XH'
'UKM50';'AB10 1XL'
'UKM50';'AB10 1XN'
'UKM50';'AB10 1XP'
'UKM50';'AB10 1XW'
'UKM50';'AB10 1XY'
'UKM50';'AB10 1XZ'
'UKM50';'AB10 1YA'
'UKM50';'AB10 1YB'
'UKM50';'AB10 1YD'
'UKM50';'AB10 1YE'
'UKM50';'AB10 1YF'
'UKM50';'AB10 1YH'
'UKM50';'AB10 1YL'
'UKM50';'AB10 1YN'
'UKM50';'AB10 1YP'
'UKM50';'AB10 1YR'
'UKM50';'AB10 1YS'
'UKM50';'AB10 1ZA'
'UKM50';'AB10 1ZG'
'UKM50';'AB10 1ZP'
'UKM50';'AB10 1ZT'
'UKM50';'AB10 1ZU'
'UKM50';'AB10 1ZX'
'UKM50';'AB10 6AA'
'UKM50';'AB10 6AB'
'UKM50';'AB10 6AD'
'UKM50';'AB10 6AE'
'UKM50';'AB10 6AG'
'UKM50';'AB10 6AH'
'UKM50';'AB10 6AJ'
'UKM50';'AB10 6AL'
'UKM50';'AB10 6AN'
'UKM50';'AB10 6AP'
'UKM50';'AB10 6AQ'
'UKM50';'AB10 6AR'
'UKM50';'AB10 6AS'
'UKM50';'AB10 6AT'
'UKM50';'AB10 6AU'
'UKM50';'AB10 6AX'
'UKM50';'AB10 6AY'
'UKM50';'AB10 6BA'
'UKM50';'AB10 6BB'
'UKM50';'AB10 6BE'
'UKM50';'AB10 6BF'
'UKM50';'AB10 6BJ'
'UKM50';'AB10 6BL'
'UKM50';'AB10 6BN'
'UKM50';'AB10 6BP'
'UKM50';'AB10 6BQ'
'UKM50';'AB10 6BR'
'UKM50';'AB10 6BS'
'UKM50';'AB10 6BT'
'UKM50';'AB10 6BU'
'UKM50';'AB10 6BW'
'UKM50';'AB10 6BX'
'UKM50';'AB10 6BY'
'UKM50';'AB10 6BZ'
'UKM50';'AB10 6DA'
'UKM50';'AB10 6DB'
'UKM50';'AB10 6DD'
'UKM50';'AB10 6DE'
'UKM50';'AB10 6DF'
'UKM50';'AB10 6DG'
'UKM50';'AB10 6DH'
'UKM50';'AB10 6DJ'
'UKM50';'AB10 6DL'
'UKM50';'AB10 6DS'
'UKM50';'AB10 6DT'
'UKM50';'AB10 6DU'
'UKM50';'AB10 6ED'
'UKM50';'AB10 6EE'
'UKM50';'AB10 6EG'
'UKM50';'AB10 6EH'
'UKM50';'AB10 6EJ'
'UKM50';'AB10 6EL'
'UKM50';'AB10 6EN'
'UKM50';'AB10 6EP'
'UKM50';'AB10 6EQ'
'UKM50';'AB10 6ER'
'UKM50';'AB10 6ES'
'UKM50';'AB10 6ET'
'UKM50';'AB10 6EU'
'UKM50';'AB10 6EW'
'UKM50';'AB10 6EX'
'UKM50';'AB10 6EY'
'UKM50';'AB10 6FA'
'UKM50';'AB10 6FB'
'UKM50';'AB10 6FL'
'UKM50';'AB10 6FN'
'UKM50';'AB10 6FP'
'UKM50';'AB10 6GA'
'UKM50';'AB10 6HA'
'UKM50';'AB10 6HB'
'UKM50';'AB10 6HD'
'UKM50';'AB10 6HE'
'UKM50';'AB10 6HF'
'UKM50';'AB10 6HG'
'UKM50';'AB10 6HH'
'UKM50';'AB10 6HJ'
'UKM50';'AB10 6HL'
'UKM50';'AB10 6HN'
'UKM50';'AB10 6HP'
'UKM50';'AB10 6HQ'
'UKM50';'AB10 6HR'
'UKM50';'AB10 6HS'
'UKM50';'AB10 6HT'
'UKM50';'AB10 6HU'
'UKM50';'AB10 6HW'
'UKM50';'AB10 6HX'
'UKM50';'AB10 6HY'
'UKM50';'AB10 6JA'
'UKM50';'AB10 6JB'
'UKM50';'AB10 6JD'
'UKM50';'AB10 6JE'
'UKM50';'AB10 6JF'
'UKM50';'AB10 6JG'
'UKM50';'AB10 6JH'
'UKM50';'AB10 6JJ'
'UKM50';'AB10 6JL'
'UKM50';'AB10 6JN'
'UKM50';'AB10 6JP'
'UKM50';'AB10 6JQ'
'UKM50';'AB10 6JR'
'UKM50';'AB10 6JU'
'UKM50';'AB10 6JW'
'UKM50';'AB10 6JY'
'UKM50';'AB10 6JZ'
'UKM50';'AB10 6LE'
'UKM50';'AB10 6LF'
'UKM50';'AB10 6LG'
'UKM50';'AB10 6LH'
'UKM50';'AB10 6LQ'
'UKM50';'AB10 6LR'
'UKM50';'AB10 6LX'
'UKM50';'AB10 6LZ'
'UKM50';'AB10 6NA'
'UKM50';'AB10 6NB'
'UKM50';'AB10 6ND'
'UKM50';'AB10 6NJ'
'UKM50';'AB10 6NL'
'UKM50';'AB10 6NN'
'UKM50';'AB10 6NP'
'UKM50';'AB10 6NQ'
'UKM50';'AB10 6NR'
'UKM50';'AB10 6NU'
'UKM50';'AB10 6NW'
'UKM50';'AB10 6NY'
'UKM50';'AB10 6NZ'
'UKM50';'AB10 6PA'
'UKM50';'AB10 6PB'
'UKM50';'AB10 6PD'
'UKM50';'AB10 6PE'
'UKM50';'AB10 6PF'
'UKM50';'AB10 6PG'
'UKM50';'AB10 6PH'
'UKM50';'AB10 6PJ'
'UKM50';'AB10 6PL'
'UKM50';'AB10 6PN'
'UKM50';'AB10 6PP'
'UKM50';'AB10 6PQ'
'UKM50';'AB10 6PR'
'UKM50';'AB10 6PS'
'UKM50';'AB10 6PT'
'UKM50';'AB10 6PU'
'UKM50';'AB10 6PW'
'UKM50';'AB10 6PX'
'UKM50';'AB10 6PY'
'UKM50';'AB10 6PZ'
'UKM50';'AB10 6QA'
'UKM50';'AB10 6QB'
'UKM50';'AB10 6QD'
'UKM50';'AB10 6QE'
'UKM50';'AB10 6QF'
'UKM50';'AB10 6QG'
'UKM50';'AB10 6QH'
'UKM50';'AB10 6QJ'
