NUTS3;CODE
'BG311';'3677'
'BG311';'3690'
'BG311';'3700'
'BG311';'3726'
'BG311';'3727'
'BG311';'3728'
'BG311';'3729'
'BG311';'3730'
'BG311';'3731'
'BG311';'3732'
'BG311';'3733'
'BG311';'3734'
'BG311';'3736'
'BG311';'3737'
'BG311';'3738'
'BG311';'3739'
'BG311';'3740'
'BG311';'3741'
'BG311';'3742'
'BG311';'3743'
'BG311';'3744'
'BG311';'3745'
'BG311';'3746'
'BG311';'3747'
'BG311';'3748'
'BG311';'3749'
'BG311';'3750'
'BG311';'3751'
'BG311';'3752'
'BG311';'3753'
'BG311';'3754'
'BG311';'3755'
'BG311';'3756'
'BG311';'3757'
'BG311';'3758'
'BG311';'3759'
'BG311';'3760'
'BG311';'3761'
'BG311';'3762'
'BG311';'3763'
'BG311';'3764'
'BG311';'3765'
'BG311';'3766'
'BG311';'3767'
'BG311';'3768'
'BG311';'3769'
'BG311';'3770'
'BG311';'3771'
'BG311';'3772'
'BG311';'3773'
'BG311';'3774'
'BG311';'3775'
'BG311';'3776'
'BG311';'3777'
'BG311';'3778'
'BG311';'3779'
'BG311';'3780'
'BG311';'3781'
'BG311';'3782'
'BG311';'3783'
'BG311';'3784'
'BG311';'3785'
'BG311';'3787'
'BG311';'3788'
'BG311';'3790'
'BG311';'3791'
'BG311';'3792'
'BG311';'3793'
'BG311';'3794'
'BG311';'3795'
'BG311';'3796'
'BG311';'3797'
'BG311';'3798'
'BG311';'3799'
'BG311';'3800'
'BG311';'3818'
'BG311';'3819'
'BG311';'3820'
'BG311';'3821'
'BG311';'3822'
'BG311';'3823'
'BG311';'3824'
'BG311';'3825'
'BG311';'3827'
'BG311';'3828'
'BG311';'3830'
'BG311';'3831'
'BG311';'3832'
'BG311';'3833'
'BG311';'3834'
'BG311';'3835'
'BG311';'3836'
'BG311';'3837'
'BG311';'3838'
'BG311';'3839'
'BG311';'3840'
'BG311';'3841'
'BG311';'3853'
'BG311';'3900'
'BG311';'3912'
'BG311';'3913'
'BG311';'3914'
'BG311';'3915'
'BG311';'3916'
'BG311';'3917'
'BG311';'3918'
'BG311';'3919'
'BG311';'3920'
'BG311';'3921'
'BG311';'3922'
'BG311';'3923'
'BG311';'3924'
'BG311';'3929'
'BG311';'3930'
'BG311';'3931'
'BG311';'3932'
'BG311';'3933'
'BG311';'3934'
'BG311';'3935'
'BG311';'3936'
'BG311';'3937'
'BG311';'3938'
'BG311';'3939'
'BG311';'3945'
'BG311';'3946'
'BG311';'3947'
'BG311';'3948'
'BG311';'3949'
'BG311';'3950'
'BG311';'3951'
'BG311';'3952'
'BG311';'3953'
'BG311';'3954'
'BG311';'3955'
'BG311';'3957'
'BG311';'3958'
'BG311';'3959'
'BG311';'3961'
'BG311';'3962'
'BG311';'3963'
'BG311';'3964'
'BG312';'3400'
'BG312';'3429'
'BG312';'3430'
'BG312';'3431'
'BG312';'3432'
'BG312';'3434'
'BG312';'3435'
'BG312';'3437'
'BG312';'3438'
'BG312';'3439'
'BG312';'3440'
'BG312';'3441'
'BG312';'3442'
'BG312';'3443'
'BG312';'3444'
'BG312';'3445'
'BG312';'3447'
'BG312';'3448'
'BG312';'3449'
'BG312';'3450'
'BG312';'3451'
'BG312';'3452'
'BG312';'3453'
'BG312';'3454'
'BG312';'3455'
'BG312';'3457'
'BG312';'3458'
'BG312';'3459'
'BG312';'3460'
'BG312';'3461'
'BG312';'3462'
'BG312';'3463'
'BG312';'3464'
'BG312';'3465'
'BG312';'3467'
'BG312';'3468'
'BG312';'3469'
'BG312';'3470'
'BG312';'3471'
'BG312';'3472'
'BG312';'3473'
'BG312';'3474'
'BG312';'3475'
'BG312';'3476'
'BG312';'3477'
'BG312';'3478'
'BG312';'3479'
'BG312';'3480'
'BG312';'3481'
'BG312';'3482'
'BG312';'3483'
'BG312';'3484'
'BG312';'3485'
'BG312';'3487'
'BG312';'3488'
'BG312';'3489'
'BG312';'3490'
'BG312';'3491'
'BG312';'3492'
'BG312';'3497'
'BG312';'3500'
'BG312';'3515'
'BG312';'3516'
'BG312';'3517'
'BG312';'3518'
'BG312';'3519'
'BG312';'3520'
'BG312';'3522'
'BG312';'3523'
'BG312';'3524'
'BG312';'3525'
'BG312';'3527'
'BG312';'3528'
'BG312';'3529'
'BG312';'3530'
'BG312';'3531'
'BG312';'3532'
'BG312';'3533'
'BG312';'3534'
'BG312';'3535'
'BG312';'3537'
'BG312';'3538'
'BG312';'3539'
'BG312';'3540'
'BG312';'3541'
'BG312';'3542'
'BG312';'3544'
'BG312';'3547'
'BG312';'3600'
'BG312';'3605'
'BG312';'3630'
'BG312';'3631'
'BG312';'3632'
'BG312';'3633'
'BG312';'3634'
'BG312';'3635'
'BG312';'3637'
'BG312';'3638'
'BG312';'3639'
'BG312';'3640'
'BG312';'3641'
'BG312';'3642'
'BG312';'3643'
'BG312';'3644'
'BG312';'3645'
'BG312';'3647'
'BG312';'3648'
'BG312';'3649'
'BG312';'3650'
'BG312';'3657'
'BG312';'3658'
'BG312';'3659'
'BG312';'3660'
'BG312';'3661'
'BG312';'3662'
'BG312';'3663'
'BG312';'3664'
'BG312';'3665'
'BG312';'3667'
'BG312';'3668'
'BG312';'3669'
'BG312';'3670'
'BG312';'3674'
'BG312';'3675'
'BG312';'3678'
'BG312';'3679'
'BG312';'3680'
'BG312';'3685'
'BG313';'3000'
'BG313';'3038'
'BG313';'3039'
'BG313';'3040'
'BG313';'3041'
'BG313';'3042'
'BG313';'3043'
'BG313';'3045'
'BG313';'3046'
'BG313';'3047'
'BG313';'3048'
'BG313';'3049'
'BG313';'3050'
'BG313';'3051'
'BG313';'3052'
'BG313';'3053'
'BG313';'3054'
'BG313';'3055'
'BG313';'3057'
'BG313';'3058'
'BG313';'3059'
'BG313';'3060'
'BG313';'3063'
'BG313';'3064'
'BG313';'3065'
'BG313';'3067'
'BG313';'3068'
'BG313';'3069'
'BG313';'3071'
'BG313';'3072'
'BG313';'3073'
'BG313';'3074'
'BG313';'3075'
'BG313';'3077'
'BG313';'3078'
'BG313';'3079'
'BG313';'3100'
'BG313';'3126'
'BG313';'3127'
'BG313';'3128'
'BG313';'3129'
'BG313';'3130'
'BG313';'3132'
'BG313';'3133'
'BG313';'3134'
'BG313';'3135'
'BG313';'3136'
'BG313';'3138'
'BG313';'3139'
'BG313';'3140'
'BG313';'3141'
'BG313';'3142'
'BG313';'3143'
'BG313';'3144'
'BG313';'3145'
'BG313';'3147'
'BG313';'3148'
'BG313';'3150'
'BG313';'3151'
'BG313';'3152'
'BG313';'3153'
'BG313';'3154'
'BG313';'3155'
'BG313';'3157'
'BG313';'3158'
'BG313';'3159'
'BG313';'3160'
'BG313';'3161'
'BG313';'3162'
'BG313';'3164'
'BG313';'3165'
'BG313';'3167'
'BG313';'3168'
'BG313';'3169'
'BG313';'3170'
'BG313';'3171'
'BG313';'3200'
'BG313';'3240'
'BG313';'3241'
'BG313';'3242'
'BG313';'3243'
'BG313';'3244'
'BG313';'3245'
'BG313';'3247'
'BG313';'3248'
'BG313';'3249'
'BG313';'3250'
'BG313';'3251'
'BG313';'3252'
'BG313';'3253'
'BG313';'3254'
'BG313';'3255'
'BG313';'3257'
'BG313';'3258'
'BG313';'3259'
'BG313';'3264'
'BG313';'3265'
'BG313';'3300'
'BG313';'3301'
'BG313';'3320'
'BG313';'3328'
'BG313';'3330'
'BG313';'3332'
'BG313';'3333'
'BG313';'3340'
'BG313';'3341'
'BG313';'3342'
'BG313';'3343'
'BG313';'3344'
'BG313';'3345'
'BG313';'3348'
'BG313';'3349'
'BG313';'3350'
'BG313';'3352'
'BG313';'3353'
'BG313';'3354'
'BG313';'3355'
'BG313';'3357'
'BG315';'2197'
'BG315';'5500'
'BG315';'5508'
'BG315';'5536'
'BG315';'5537'
'BG315';'5538'
'BG315';'5539'
'BG315';'5540'
'BG315';'5541'
'BG315';'5542'
'BG315';'5543'
'BG315';'5544'
'BG315';'5545'
'BG315';'5546'
'BG315';'5547'
'BG315';'5548'
'BG315';'5549'
'BG315';'5550'
'BG315';'5551'
'BG315';'5552'
'BG315';'5553'
'BG315';'5554'
'BG315';'5555'
'BG315';'5557'
'BG315';'5558'
'BG315';'5559'
'BG315';'5560'
'BG315';'5561'
'BG315';'5562'
'BG315';'5563'
'BG315';'5564'
'BG315';'5565'
'BG315';'5567'
'BG315';'5568'
'BG315';'5569'
'BG315';'5570'
'BG315';'5571'
'BG315';'5572'
'BG315';'5573'
'BG315';'5574'
'BG315';'5575'
'BG315';'5576'
'BG315';'5577'
'BG315';'5578'
'BG315';'5579'
'BG315';'5580'
'BG315';'5581'
'BG315';'5582'
'BG315';'5583'
'BG315';'5600'
'BG315';'5614'
'BG315';'5615'
'BG315';'5616'
'BG315';'5617'
'BG315';'5618'
'BG315';'5619'
'BG315';'5620'
'BG315';'5621'
'BG315';'5622'
'BG315';'5623'
'BG315';'5624'
'BG315';'5625'
'BG315';'5626'
'BG315';'5627'
'BG315';'5628'
'BG315';'5630'
'BG315';'5631'
'BG315';'5632'
'BG315';'5633'
'BG315';'5637'
'BG315';'5641'
'BG315';'5643'
'BG315';'5644'
'BG315';'5648'
'BG315';'5654'
'BG315';'5655'
'BG315';'5656'
'BG315';'5657'
'BG315';'5658'
'BG315';'5659'
'BG315';'5660'
'BG315';'5662'
'BG315';'5663'
'BG315';'5665'
'BG315';'5667'
'BG315';'5668'
'BG315';'5669'
'BG315';'5670'
'BG315';'5671'
'BG315';'5672'
'BG315';'5683'
'BG315';'5700'
'BG315';'5720'
'BG315';'5723'
'BG315';'5724'
'BG315';'5725'
'BG315';'5726'
'BG315';'5727'
'BG315';'5728'
'BG315';'5729'
'BG315';'5730'
'BG315';'5731'
'BG315';'5732'
'BG315';'5733'
'BG315';'5734'
'BG315';'5740'
'BG315';'5741'
'BG315';'5750'
'BG315';'5758'
'BG315';'5760'
'BG315';'5761'
'BG315';'5762'
'BG315';'5763'
'BG315';'5764'
'BG315';'5765'
'BG315';'5770'
'BG315';'5780'
'BG315';'5781'
'BG315';'5782'
'BG315';'5783'
'BG315';'5784'
'BG315';'5785'
'BG315';'5787'
'BG315';'5789'
'BG315';'5790'
'BG315';'5791'
'BG315';'5792'
'BG315';'5793'
'BG321';'5000'
'BG321';'5027'
'BG321';'5028'
'BG321';'5029'
'BG321';'5030'
'BG321';'5031'
'BG321';'5032'
'BG321';'5033'
'BG321';'5034'
'BG321';'5035'
'BG321';'5037'
'BG321';'5038'
'BG321';'5039'
'BG321';'5040'
'BG321';'5041'
'BG321';'5042'
'BG321';'5043'
'BG321';'5044'
'BG321';'5045'
