NUTS3;CODE
'CH011';'1000'
'CH011';'1001'
'CH011';'1002'
'CH011';'1003'
'CH011';'1004'
'CH011';'1005'
'CH011';'1006'
'CH011';'1007'
'CH011';'1008'
'CH011';'1009'
'CH011';'1010'
'CH011';'1011'
'CH011';'1012'
'CH011';'1014'
'CH011';'1015'
'CH011';'1017'
'CH011';'1018'
'CH011';'1019'
'CH011';'1020'
'CH011';'1022'
'CH011';'1023'
'CH011';'1024'
'CH011';'1025'
'CH011';'1026'
'CH011';'1027'
'CH011';'1028'
'CH011';'1029'
'CH011';'1030'
'CH011';'1031'
'CH011';'1032'
'CH011';'1033'
'CH011';'1034'
'CH011';'1035'
'CH011';'1036'
'CH011';'1037'
'CH011';'1038'
'CH011';'1039'
'CH011';'1040'
'CH011';'1041'
'CH011';'1042'
'CH011';'1043'
'CH011';'1044'
'CH011';'1045'
'CH011';'1046'
'CH011';'1047'
'CH011';'1051'
'CH011';'1052'
'CH011';'1053'
'CH011';'1054'
'CH011';'1055'
'CH011';'1058'
'CH011';'1059'
'CH011';'1061'
'CH011';'1062'
'CH011';'1063'
'CH011';'1066'
'CH011';'1068'
'CH011';'1070'
'CH011';'1071'
'CH011';'1072'
'CH011';'1073'
'CH011';'1076'
'CH011';'1077'
'CH011';'1078'
'CH011';'1080'
'CH011';'1081'
'CH011';'1082'
'CH011';'1083'
'CH011';'1084'
'CH011';'1085'
'CH011';'1088'
'CH011';'1090'
'CH011';'1091'
'CH011';'1092'
'CH011';'1093'
'CH011';'1094'
'CH011';'1095'
'CH011';'1096'
'CH011';'1097'
'CH011';'1098'
'CH011';'1099'
'CH011';'1110'
'CH011';'1112'
'CH011';'1113'
'CH011';'1114'
'CH011';'1115'
'CH011';'1116'
'CH011';'1117'
'CH011';'1121'
'CH011';'1122'
'CH011';'1123'
'CH011';'1124'
'CH011';'1125'
'CH011';'1126'
'CH011';'1127'
'CH011';'1128'
'CH011';'1131'
'CH011';'1132'
'CH011';'1134'
'CH011';'1135'
'CH011';'1136'
'CH011';'1141'
'CH011';'1142'
'CH011';'1143'
'CH011';'1144'
'CH011';'1145'
