NUTS3;CODE
'CZ020';'149 00'
'CZ020';'250 01'
'CZ020';'250 61'
'CZ020';'250 63'
'CZ020';'250 64'
'CZ020';'250 65'
'CZ020';'250 66'
'CZ020';'250 67'
'CZ020';'250 68'
'CZ020';'250 69'
'CZ020';'250 70'
'CZ020';'250 72'
'CZ020';'250 73'
'CZ020';'250 74'
'CZ020';'250 75'
'CZ020';'250 81'
'CZ020';'250 82'
'CZ020';'250 83'
'CZ020';'250 84'
'CZ020';'250 85'
'CZ020';'250 87'
'CZ020';'250 88'
'CZ020';'250 89'
'CZ020';'250 90'
'CZ020';'250 91'
'CZ020';'250 92'
'CZ020';'251 01'
'CZ020';'251 62'
'CZ020';'251 63'
'CZ020';'251 64'
'CZ020';'251 65'
'CZ020';'251 66'
'CZ020';'251 67'
'CZ020';'251 68'
'CZ020';'251 69'
'CZ020';'252 02'
'CZ020';'252 03'
'CZ020';'252 04'
'CZ020';'252 05'
'CZ020';'252 06'
'CZ020';'252 07'
'CZ020';'252 08'
'CZ020';'252 09'
'CZ020';'252 10'
'CZ020';'252 16'
'CZ020';'252 17'
'CZ020';'252 18'
'CZ020';'252 19'
'CZ020';'252 25'
'CZ020';'252 26'
'CZ020';'252 28'
'CZ020';'252 29'
'CZ020';'252 30'
'CZ020';'252 31'
'CZ020';'252 41'
'CZ020';'252 42'
'CZ020';'252 43'
'CZ020';'252 44'
'CZ020';'252 45'
'CZ020';'252 46'
'CZ020';'252 50'
'CZ020';'252 61'
'CZ020';'252 62'
'CZ020';'252 63'
'CZ020';'252 64'
'CZ020';'252 65'
'CZ020';'252 66'
'CZ020';'252 67'
'CZ020';'252 68'
'CZ020';'252 81'
'CZ020';'252 82'
'CZ020';'253 01'
'CZ020';'253 03'
'CZ020';'254 01'
'CZ020';'256 01'
'CZ020';'257 01'
'CZ020';'257 03'
'CZ020';'257 05'
'CZ020';'257 06'
'CZ020';'257 08'
'CZ020';'257 09'
'CZ020';'257 21'
'CZ020';'257 22'
'CZ020';'257 23'
'CZ020';'257 24'
'CZ020';'257 26'
'CZ020';'257 28'
'CZ020';'257 41'
'CZ020';'257 42'
'CZ020';'257 44'
'CZ020';'257 51'
'CZ020';'257 53'
'CZ020';'257 55'
'CZ020';'257 56'
'CZ020';'257 63'
'CZ020';'257 64'
'CZ020';'257 65'
'CZ020';'257 68'
'CZ020';'257 71'
'CZ020';'257 86'
'CZ020';'257 87'
'CZ020';'257 89'
'CZ020';'257 91'
'CZ020';'258 01'
'CZ020';'259 01'
'CZ020';'261 01'
'CZ020';'262 02'
'CZ020';'262 03'
'CZ020';'262 04'
'CZ020';'262 05'
'CZ020';'262 06'
'CZ020';'262 11'
'CZ020';'262 12'
'CZ020';'262 13'
'CZ020';'262 14'
'CZ020';'262 15'
'CZ020';'262 21'
'CZ020';'262 22'
'CZ020';'262 23'
'CZ020';'262 25'
'CZ020';'262 31'
'CZ020';'262 32'
'CZ020';'262 41'
'CZ020';'262 42'
'CZ020';'262 44'
'CZ020';'262 51'
'CZ020';'262 52'
'CZ020';'262 55'
'CZ020';'262 56'
'CZ020';'262 61'
'CZ020';'262 62'
'CZ020';'262 63'
'CZ020';'262 72'
'CZ020';'262 81'
'CZ020';'262 84'
'CZ020';'262 85'
'CZ020';'262 91'
'CZ020';'263 01'
'CZ020';'264 01'
'CZ020';'266 01'
'CZ020';'267 01'
'CZ020';'267 03'
'CZ020';'267 05'
'CZ020';'267 06'
