NUTS3;CODE
'EL304';'16451'
'EL304';'16452'
'EL304';'16561'
'EL304';'16562'
'EL304';'16674'
'EL304';'16675'
'EL304';'16777'
'EL304';'17121'
'EL304';'17122'
'EL304';'17123'
'EL304';'17124'
'EL304';'17341'
'EL304';'17342'
'EL304';'17343'
'EL304';'17455'
'EL304';'17456'
'EL304';'17561'
'EL304';'17562'
'EL304';'17563'
'EL304';'17564'
'EL304';'17671'
'EL304';'17672'
'EL304';'17673'
'EL304';'17674'
'EL304';'17675'
'EL304';'17676'
'EL304';'17778'
'EL304';'18344'
'EL304';'18345'
'EL304';'18346'
'EL421';'85002'
'EL421';'85100'
'EL421';'85101'
'EL421';'85102'
'EL421';'85103'
'EL421';'85104'
'EL421';'85105'
'EL421';'85106'
'EL421';'85107'
'EL421';'85108'
'EL421';'85109'
'EL421';'85200'
'EL421';'85300'
'EL421';'85301'
'EL421';'85303'
'EL421';'85400'
'EL421';'85600'
'EL421';'85700'
'EL421';'85900'
'EL511';'68001'
'EL511';'68002'
'EL511';'68003'
'EL511';'68004'
'EL511';'68006'
'EL511';'68007'
'EL511';'68008'
'EL511';'68010'
'EL511';'68013'
'EL511';'68014'
'EL511';'68100'
'EL511';'68200'
'EL511';'68300'
'EL511';'68400'
'EL511';'68500'
'EL523';'61002'
'EL523';'61003'
'EL523';'61007'
'EL523';'61100'
'EL523';'61200'
'EL523';'61300'
'EL523';'61400'
'EL532';'50007'
'EL532';'52050'
'EL532';'52051'
'EL532';'52052'
'EL532';'52053'
'EL532';'52055'
'EL532';'52056'
'EL532';'52057'
'EL532';'52058'
'EL532';'52059'
'EL532';'52100'
'EL532';'52200'
'EL613';'37001'
'EL613';'37002'
'EL613';'37003'
'EL613';'37005'
'EL613';'37006'
'EL613';'37008'
'EL613';'37009'
'EL613';'37010'
'EL613';'37011'
'EL613';'37012'
'EL613';'37013'
'EL613';'37100'
'EL613';'37300'
'EL613';'37400'
'EL613';'37500'
'EL613';'38221'
'EL613';'38222'
'EL613';'38333'
'EL613';'38445'
'EL613';'38446'
'EL613';'38500'
'EL632';'25001'
'EL632';'25002'
'EL632';'25003'
'EL632';'25004'
'EL632';'25006'
'EL632';'25007'
'EL632';'25008'
'EL632';'25009'
'EL632';'25010'
'EL632';'25015'
'EL632';'25016'
'EL632';'25100'
'EL632';'25200'
'EL632';'26221'
'EL632';'26222'
'EL632';'26223'
'EL632';'26224'
'EL632';'26225'
'EL632';'26226'
'EL632';'26241'
'EL632';'26242'
'EL632';'26331'
'EL632';'26332'
'EL632';'26333'
'EL632';'26334'
'EL632';'26335'
'EL632';'26441'
'EL632';'26442'
'EL632';'26443'
'EL632';'26500'
'EL632';'26504'
'EL651';'21051'
'EL651';'21052'
'EL651';'21053'
'EL651';'21054'
'EL651';'21055'
'EL651';'21059'
'EL651';'21100'
'EL651';'21200'
'EL651';'21300'
'EL651';'22001'
'EL651';'22002'
'EL651';'22003'
'EL651';'22007'
'EL651';'22008'
'EL651';'22010'
'EL651';'22012'
'EL651';'22013'
'EL651';'22015'
'EL651';'22016'
'EL651';'22019'
'EL651';'22021'
'EL651';'22022'
'EL651';'22027'
'EL651';'22028'
'EL651';'22029'
'EL651';'22100'
'EL651';'22200'
'EL651';'22300'
'EL301';'14121'
'EL301';'14122'
'EL301';'14123'
'EL301';'14231'
'EL301';'14232'
'EL301';'14233'
'EL301';'14234'
'EL301';'14235'
'EL301';'14451'
'EL301';'14452'
'EL301';'14561'
'EL301';'14562'
'EL301';'14563'
'EL301';'14564'
'EL301';'14578'
'EL301';'14671'
'EL301';'15121'
'EL301';'15122'
'EL301';'15123'
'EL301';'15124'
'EL301';'15125'
'EL301';'15126'
'EL301';'15127'
'EL301';'15231'
'EL301';'15232'
'EL301';'15233'
'EL301';'15234'
'EL301';'15235'
'EL301';'15236'
'EL301';'15237'
'EL301';'15238'
'EL301';'15341'
'EL301';'15342'
'EL301';'15343'
'EL301';'15451'
'EL301';'15452'
'EL301';'15562'
'EL301';'15669'
'EL302';'12131'
'EL302';'12132'
'EL302';'12133'
'EL302';'12135'
'EL302';'12136'
'EL302';'12242'
'EL302';'12243'
'EL302';'12244'
'EL302';'12351'
'EL302';'12461'
'EL302';'12462'
'EL302';'13121'
'EL302';'13122'
'EL302';'13123'
'EL302';'13231'
'EL302';'13451'
'EL302';'13561'
'EL302';'13562'
'EL302';'12134'
'EL302';'12137'
'EL303';'10431'
'EL303';'10432'
'EL303';'10433'
'EL303';'10434'
'EL303';'10435'
'EL303';'10436'
'EL303';'10437'
'EL303';'10438'
'EL303';'10439'
'EL303';'10440'
'EL303';'10441'
'EL303';'10442'
'EL303';'10443'
'EL303';'10444'
'EL303';'10445'
'EL303';'10446'
'EL303';'10447'
'EL303';'10551'
'EL303';'10552'
'EL303';'10553'
'EL303';'10554'
'EL303';'10555'
'EL303';'10556'
'EL303';'10557'
'EL303';'10558'
'EL303';'10559'
'EL303';'10560'
'EL303';'10561'
'EL303';'10562'
'EL303';'10563'
'EL303';'10564'
'EL303';'10671'
'EL303';'10672'
'EL303';'10673'
'EL303';'10674'
'EL303';'10675'
'EL303';'10676'
'EL303';'10677'
'EL303';'10678'
'EL303';'10679'
'EL303';'10680'
'EL303';'10681'
'EL303';'10682'
'EL303';'10683'
'EL303';'11141'
'EL303';'11142'
'EL303';'11143'
'EL303';'11144'
'EL303';'11145'
'EL303';'11146'
'EL303';'11147'
'EL303';'11251'
'EL303';'11252'
'EL303';'11253'
'EL303';'11254'
'EL303';'11255'
'EL303';'11256'
'EL303';'11257'
'EL303';'11361'
'EL303';'11362'
'EL303';'11363'
'EL303';'11364'
'EL303';'11471'
'EL303';'11472'
'EL303';'11473'
'EL303';'11474'
'EL303';'11475'
'EL303';'11476'
'EL303';'11521'
'EL303';'11522'
'EL303';'11523'
'EL303';'11524'
'EL303';'11525'
'EL303';'11526'
'EL303';'11527'
'EL303';'11528'
'EL303';'11631'
'EL303';'11632'
'EL303';'11633'
'EL303';'11634'
'EL303';'11635'
'EL303';'11636'
'EL303';'11741'
'EL303';'11742'
'EL303';'11743'
'EL303';'11744'
'EL303';'11745'
'EL303';'11851'
'EL303';'11852'
'EL303';'11853'
'EL303';'11854'
'EL303';'11855'
'EL303';'12241'
'EL303';'14341'
'EL303';'14342'
'EL303';'14343'
'EL303';'15561'
'EL303';'15771'
'EL303';'15772'
'EL303';'15773'
'EL303';'16121'
'EL303';'16122'
'EL303';'16231'
'EL303';'16232'
'EL303';'16233'
'EL303';'16341'
'EL303';'16342'
'EL303';'16343'
'EL303';'16344'
'EL303';'16345'
'EL303';'16346'
'EL303';'17234'
'EL303';'17235'
'EL303';'17236'
'EL303';'17237'
'EL305';'13671'
'EL305';'13672'
'EL305';'13673'
'EL305';'13674'
'EL305';'13675'
'EL305';'13676'
'EL305';'13677'
'EL305';'14565'
'EL305';'14568'
'EL305';'14569'
'EL305';'14572'
'EL305';'14574'
'EL305';'14575'
'EL305';'14576'
'EL305';'15344'
'EL305';'15349'
'EL305';'15351'
'EL305';'15354'
'EL305';'16671'
'EL305';'16672'
'EL305';'16673'
'EL305';'19001'
'EL305';'19002'
'EL305';'19003'
'EL305';'19004'
'EL305';'19005'
'EL305';'19007'
'EL305';'19009'
'EL305';'19010'
'EL305';'19011'
'EL305';'19013'
'EL305';'19014'
'EL305';'19015'
'EL305';'19016'
'EL305';'19400'
'EL305';'19500'
'EL306';'13341'
'EL306';'13342'
'EL306';'13343'
'EL306';'13344'
'EL306';'13351'
'EL306';'19006'
'EL306';'19008'
'EL306';'19012'
'EL306';'19100'
'EL306';'19200'
'EL306';'19300'
'EL306';'19600'
'EL307';'18010'
'EL307';'18020'
'EL307';'18030'
'EL307';'18040'
'EL307';'18050'
'EL307';'18120'
'EL307';'18121'
'EL307';'18122'
'EL307';'18233'
'EL307';'18450'
'EL307';'18451'
'EL307';'18452'
'EL307';'18453'
'EL307';'18454'
'EL307';'18531'
'EL307';'18532'
'EL307';'18533'
'EL307';'18535'
'EL307';'18536'
'EL307';'18537'
'EL307';'18538'
'EL307';'18539'
'EL307';'18540'
'EL307';'18541'
'EL307';'18542'
'EL307';'18543'
'EL307';'18544'
'EL307';'18547'
'EL307';'18648'
'EL307';'18755'
'EL307';'18756'
'EL307';'18757'
'EL307';'18758'
'EL307';'18863'
'EL307';'18900'
'EL307';'18902'
'EL307';'18903'
'EL307';'80100'
'EL307';'18545'
'EL307';'18534'
'EL411';'81100'
'EL411';'81101'
'EL411';'81102'
'EL411';'81103'
'EL411';'81104'
'EL411';'81105'
'EL411';'81106'
'EL411';'81107'
'EL411';'81108'
'EL411';'81109'
'EL411';'81200'
'EL411';'81300'
'EL411';'81400'
'EL412';'83101'
'EL412';'83102'
'EL412';'83103'
'EL412';'83104'
'EL412';'83200'
'EL412';'83300'
'EL412';'83302'
'EL413';'82100'
'EL413';'82102'
'EL413';'82103'
'EL413';'82104'
'EL413';'82200'
'EL413';'82300'
'EL422';'84001'
'EL422';'84002'
'EL422';'84003'
'EL422';'84005'
'EL422';'84006'
'EL422';'84008'
'EL422';'84009'
'EL422';'84010'
'EL422';'84011'
'EL422';'84100'
'EL422';'84200'
'EL422';'84201'
'EL422';'84300'
'EL422';'84302'
'EL422';'84401'
'EL422';'84500'
'EL422';'84501'
'EL422';'84600'
'EL422';'84700'
'EL422';'84703'
'EL422';'84801'
'EL431';'70002'
'EL431';'70003'
'EL431';'70004'
'EL431';'70005'
'EL431';'70006'
'EL431';'70007'
'EL431';'70008'
'EL431';'70010'
'EL431';'70011'
'EL431';'70012'
'EL431';'70013'
'EL431';'70014'
'EL431';'70016'
'EL431';'70100'
'EL431';'70200'
'EL431';'70300'
'EL431';'70400'
'EL431';'71201'
'EL431';'71202'
'EL431';'71303'
'EL431';'71304'
'EL431';'71305'
'EL431';'71306'
'EL431';'71307'
'EL431';'71409'
'EL431';'71410'
'EL431';'71414'
'EL431';'71500'
'EL431';'71601'
'EL432';'72051'
'EL432';'72052'
'EL432';'72053'
'EL432';'72055'
'EL432';'72056'
'EL432';'72059'
'EL432';'72200'
'EL432';'72300'
'EL432';'72400'
'EL433';'74051'
'EL433';'74052'
'EL433';'74053'
'EL433';'74054'
'EL433';'74055'
'EL433';'74056'
'EL433';'74060'
'EL433';'74061'
'EL433';'74100'
'EL434';'73001'
'EL434';'73002'
'EL434';'73003'
'EL434';'73004'
'EL434';'73005'
'EL434';'73006'
'EL434';'73007'
'EL434';'73008'
'EL434';'73009'
'EL434';'73011'
'EL434';'73012'
'EL434';'73014'
'EL434';'73100'
'EL434';'73131'
'EL434';'73132'
'EL434';'73133'
'EL434';'73134'
'EL434';'73135'
'EL434';'73136'
'EL434';'73200'
'EL434';'73300'
'EL434';'73400'
'EL512';'67062'
'EL512';'67063'
'EL512';'67064'
'EL512';'67100'
'EL512';'67200'
'EL512';'67300'
'EL513';'69100'
'EL513';'69200'
'EL513';'69300'
'EL513';'69400'
'EL514';'66031'
'EL514';'66032'
'EL514';'66033'
'EL514';'66035'
'EL514';'66037'
'EL514';'66100'
'EL514';'66200'
'EL514';'66300'
'EL515';'64001'
'EL515';'64002'
'EL515';'64003'
'EL515';'64004'
'EL515';'64005'
'EL515';'64007'
'EL515';'64008'
'EL515';'64010'
'EL515';'64011'
'EL515';'64100'
'EL515';'64200'
'EL515';'65201'
'EL515';'65302'
'EL515';'65403'
'EL515';'65404'
'EL515';'65500'
'EL521';'59031'
'EL521';'59032'
'EL521';'59033'
'EL521';'59034'
'EL521';'59035'
'EL521';'59100'
'EL521';'59200'
'EL521';'59300'
'EL522';'54248'
'EL522';'54249'
'EL522';'54250'
'EL522';'54351'
'EL522';'54352'
'EL522';'54453'
'EL522';'54454'
'EL522';'54500'
'EL522';'54621'
'EL522';'54622'
'EL522';'54623'
'EL522';'54624'
'EL522';'54625'
'EL522';'54626'
'EL522';'54627'
'EL522';'54628'
'EL522';'54629'
'EL522';'54630'
'EL522';'54631'
'EL522';'54632'
'EL522';'54633'
'EL522';'54634'
'EL522';'54635'
'EL522';'54636'
'EL522';'54638'
'EL522';'54639'
'EL522';'54640'
'EL522';'54641'
'EL522';'54642'
'EL522';'54643'
'EL522';'54644'
'EL522';'54645'
'EL522';'54646'
'EL522';'54655'
'EL522';'55131'
'EL522';'55132'
'EL522';'55133'
'EL522';'55134'
'EL522';'55236'
'EL522';'55337'
'EL522';'55438'
'EL522';'55535'
'EL522';'56121'
'EL522';'56122'
'EL522';'56123'
'EL522';'56224'
'EL522';'56334'
'EL522';'56429'
'EL522';'56430'
'EL522';'56431'
'EL522';'56510'
'EL522';'56532'
'EL522';'56533'
'EL522';'56625'
'EL522';'56626'
'EL522';'56727'
'EL522';'56728'
'EL522';'57001'
'EL522';'57002'
'EL522';'57003'
'EL522';'57004'
'EL522';'57006'
'EL522';'57007'
'EL522';'57008'
'EL522';'57009'
'EL522';'57010'
'EL522';'57011'
'EL522';'57012'
'EL522';'57013'
'EL522';'57014'
'EL522';'57015'
'EL522';'57016'
'EL522';'57017'
'EL522';'57018'
'EL522';'57019'
'EL522';'57020'
'EL522';'57021'
