NUTS3;CODE
'FR105';'92000'
'FR105';'92100'
'FR105';'92110'
'FR105';'92120'
'FR105';'92130'
'FR105';'92140'
'FR105';'92150'
'FR105';'92160'
'FR105';'92170'
'FR105';'92190'
'FR105';'92200'
'FR105';'92210'
'FR105';'92220'
'FR105';'92230'
'FR105';'92240'
'FR105';'92250'
'FR105';'92260'
'FR105';'92270'
'FR105';'92290'
'FR105';'92300'
'FR105';'92310'
'FR105';'92320'
'FR105';'92330'
'FR105';'92340'
'FR105';'92350'
'FR105';'92360'
'FR105';'92370'
'FR105';'92380'
'FR105';'92390'
'FR105';'92400'
'FR105';'92410'
'FR105';'92420'
'FR105';'92430'
'FR105';'92500'
'FR105';'92600'
'FR105';'92700'
'FR105';'92800'
'FR105';'93450'
'FRB04';'37000'
'FRB04';'37100'
'FRB04';'37110'
'FRB04';'37120'
'FRB04';'37130'
'FRB04';'37140'
'FRB04';'37150'
'FRB04';'37160'
'FRB04';'37170'
'FRB04';'37190'
'FRB04';'37200'
'FRB04';'37210'
'FRB04';'37220'
'FRB04';'37230'
'FRB04';'37240'
'FRB04';'37250'
'FRB04';'37260'
'FRB04';'37270'
'FRB04';'37290'
'FRB04';'37300'
'FRB04';'37310'
'FRB04';'37320'
'FRB04';'37330'
'FRB04';'37340'
'FRB04';'37350'
'FRB04';'37360'
'FRB04';'37370'
'FRB04';'37380'
'FRB04';'37390'
'FRB04';'37400'
'FRB04';'37420'
'FRB04';'37460'
'FRB04';'37500'
'FRB04';'37510'
'FRB04';'37520'
'FRB04';'37530'
'FRB04';'37540'
'FRB04';'37550'
'FRB04';'37600'
'FRB04';'37700'
'FRB04';'37800'
'FRC14';'89000'
'FRC14';'89100'
'FRC14';'89110'
'FRC14';'89113'
'FRC14';'89116'
'FRC14';'89130'
'FRC14';'89140'
'FRC14';'89144'
'FRC14';'89150'
'FRC14';'89160'
'FRC14';'89170'
'FRC14';'89190'
'FRC14';'89200'
'FRC14';'89210'
'FRC14';'89220'
'FRC14';'89230'
'FRC14';'89240'
'FRC14';'89250'
'FRC14';'89260'
'FRC14';'89270'
'FRC14';'89290'
'FRC14';'89300'
'FRC14';'89310'
'FRC14';'89320'
'FRC14';'89330'
'FRC14';'89340'
'FRC14';'89350'
'FRC14';'89360'
'FRC14';'89380'
'FRC14';'89390'
'FRC14';'89400'
'FRC14';'89410'
'FRC14';'89420'
'FRC14';'89430'
'FRC14';'89440'
'FRC14';'89450'
'FRC14';'89460'
'FRC14';'89470'
'FRC14';'89480'
