NUTS3;CODE
'HR022';'33000'
'HR022';'33405'
'HR022';'33410'
'HR022';'33515'
'HR022';'33520'
'HR028';'34551'
'HR028';'44000'
'HR028';'44010'
'HR028';'44210'
'HR028';'44250'
'HR028';'44317'
'HR028';'44320'
'HR028';'44330'
'HR028';'44400'
'HR028';'44410'
'HR028';'44430'
'HR028';'44440'
'HR037';'20000'
'HR037';'20207'
'HR037';'20210'
'HR037';'20215'
'HR037';'20221'
'HR037';'20222'
'HR037';'20223'
'HR037';'20225'
'HR037';'20226'
'HR037';'20230'
'HR037';'20232'
'HR037';'20235'
'HR037';'20240'
'HR037';'20244'
'HR037';'20246'
'HR037';'20250'
'HR037';'20260'
'HR037';'20270'
'HR037';'20271'
'HR037';'20274'
'HR037';'20290'
'HR037';'20340'
'HR037';'20350'
'HR037';'20355'
'HR065';'10255'
'HR065';'10290'
'HR065';'10291'
'HR065';'10292'
'HR065';'10295'
'HR065';'10297'
'HR065';'10298'
'HR065';'10310'
'HR065';'10315'
'HR065';'10340'
'HR065';'10342'
'HR065';'10370'
'HR065';'10380'
'HR065';'10410'
'HR065';'10413'
'HR065';'10414'
'HR065';'10430'
'HR065';'10431'
'HR065';'10435'
'HR065';'10436'
'HR065';'10450'
'HR065';'10451'
'HR065';'10454'
'HR021';'43000'
'HR021';'43240'
'HR021';'43270'
'HR021';'43280'
'HR021';'43290'
'HR021';'43500'
'HR023';'34000'
'HR023';'34310'
'HR023';'34340'
'HR023';'34550'
'HR024';'35000'
'HR024';'35212'
'HR024';'35214'
'HR024';'35220'
'HR024';'35222'
'HR024';'35250'
'HR024';'35252'
'HR024';'35400'
'HR024';'35410'
'HR024';'35420'
'HR024';'35430'
'HR025';'31000'
'HR025';'31200'
'HR025';'31207'
'HR025';'31226'
'HR025';'31300'
'HR025';'31326'
'HR025';'31400'
'HR025';'31431'
'HR025';'31500'
'HR025';'31511'
'HR025';'31540'
'HR025';'31550'
'HR025';'31551'
'HR026';'32000'
'HR026';'32100'
'HR026';'32236'
'HR026';'32242'
'HR026';'32249'
'HR026';'32252'
'HR026';'32257'
'HR026';'32270'
'HR026';'32272'
'HR026';'32284'
'HR027';'47000'
'HR027';'47220'
'HR027';'47240'
'HR027';'47250'
'HR027';'47280'
'HR027';'47300'
'HR031';'51000'
'HR031';'51211'
'HR031';'51215'
'HR031';'51216'
'HR031';'51217'
'HR031';'51218'
'HR031';'51224'
'HR031';'51226'
'HR031';'51250'
'HR031';'51260'
'HR031';'51262'
'HR031';'51280'
'HR031';'51300'
'HR031';'51306'
'HR031';'51326'
'HR031';'51410'
'HR031';'51415'
'HR031';'51500'
'HR031';'51511'
'HR031';'51523'
'HR031';'51552'
'HR031';'51556'
'HR031';'51561'
'HR031';'51562'
'HR032';'53000'
'HR032';'53202'
'HR032';'53220'
'HR032';'53230'
'HR032';'53234'
'HR032';'53250'
'HR032';'53260'
'HR032';'53270'
'HR032';'53288'
'HR032';'53291'
'HR033';'22213'
'HR033';'23000'
'HR033';'23205'
'HR033';'23206'
'HR033';'23210'
'HR033';'23222'
'HR033';'23223'
'HR033';'23232'
'HR033';'23233'
'HR033';'23234'
'HR033';'23235'
'HR033';'23241'
'HR033';'23244'
'HR033';'23248'
'HR033';'23250'
'HR033';'23271'
'HR033';'23273'
'HR033';'23283'
'HR033';'23286'
'HR033';'23287'
'HR033';'23291'
'HR033';'23292'
'HR033';'23293'
'HR033';'23294'
'HR033';'23295'
'HR033';'23296'
'HR033';'23312'
'HR033';'23420'
'HR033';'23422'
'HR033';'23440'
'HR033';'23450'
'HR034';'22000'
'HR034';'22202'
'HR034';'22222'
'HR034';'22232'
'HR034';'22233'
'HR034';'22234'
'HR034';'22235'
'HR034';'22236'
'HR034';'22240'
'HR034';'22243'
'HR034';'22300'
'HR034';'22320'
'HR034';'22323'
'HR035';'21000'
'HR035';'21203'
'HR035';'21204'
'HR035';'21210'
'HR035';'21212'
'HR035';'21214'
'HR035';'21217'
'HR035';'21220'
'HR035';'21222'
'HR035';'21230'
'HR035';'21232'
'HR035';'21233'
'HR035';'21236'
'HR035';'21238'
'HR035';'21240'
'HR035';'21250'
'HR035';'21256'
'HR035';'21260'
'HR035';'21270'
'HR035';'21276'
'HR035';'21292'
'HR035';'21300'
'HR035';'21311'
'HR035';'21315'
'HR035';'21320'
'HR035';'21327'
'HR035';'21330'
'HR035';'21400'
'HR035';'21405'
'HR035';'21410'
'HR035';'21412'
'HR035';'21420'
'HR035';'21425'
'HR035';'21430'
'HR035';'21450'
'HR035';'21460'
'HR035';'21465'
'HR035';'21469'
'HR036';'52000'
'HR036';'52100'
'HR036';'52207'
'HR036';'52210'
'HR036';'52220'
'HR036';'52333'
'HR036';'52341'
'HR036';'52420'
'HR036';'52424'
'HR036';'52440'
'HR036';'52460'
'HR036';'52466'
'HR036';'52470'
'HR050';'10000'
'HR050';'10010'
'HR050';'10020'
'HR050';'10040'
'HR050';'10090'
'HR050';'10104'
'HR050';'10105'
'HR050';'10110'
'HR050';'10135'
'HR050';'10250'
'HR050';'10257'
'HR050';'10360'
'HR050';'10361'
'HR050';'10362'
'HR050';'10363'
'HR061';'40000'
'HR061';'40313'
'HR061';'40315'
'HR061';'40320'
'HR061';'40323'
'HR062';'42000'
'HR062';'42202'
'HR062';'42204'
'HR062';'42208'
'HR062';'42220'
'HR062';'42223'
'HR062';'42230'
'HR062';'42240'
'HR062';'42243'
'HR062';'42250'
'HR063';'48000'
'HR063';'48214'
'HR063';'48260'
'HR063';'48316'
'HR063';'48331'
'HR063';'48350'
'HR064';'49000'
'HR064';'49210'
'HR064';'49216'
'HR064';'49217'
'HR064';'49218'
'HR064';'49221'
'HR064';'49223'
'HR064';'49225'
'HR064';'49231'
'HR064';'49240'
'HR064';'49243'
'HR064';'49246'
'HR064';'49250'
'HR064';'49252'
'HR064';'49282'
'HR064';'49284'
'HR064';'49290'
'HR037';'20236'
'HR031';'51417'
'HR031';'51550'
'HR031';'51557'
'HR033';'23212'
'HR033';'23242'
'HR033';'23281'
'HR033';'23284'
'HR034';'22211'
'HR035';'21225'
'HR035';'21310'
'HR035';'21480'
'HR035';'21485'
