NUTS3;CODE
'HU312';'3000'
'HU312';'3009'
'HU312';'3011'
'HU312';'3012'
'HU312';'3013'
'HU312';'3014'
'HU312';'3015'
'HU312';'3016'
'HU312';'3021'
'HU312';'3022'
'HU312';'3023'
'HU312';'3024'
'HU312';'3031'
'HU312';'3032'
'HU312';'3033'
'HU312';'3034'
'HU312';'3035'
'HU312';'3036'
'HU312';'3200'
'HU312';'3211'
'HU312';'3212'
'HU312';'3213'
'HU312';'3214'
'HU312';'3221'
'HU312';'3231'
'HU312';'3232'
'HU312';'3233'
'HU312';'3234'
'HU312';'3235'
'HU312';'3240'
'HU312';'3242'
'HU312';'3243'
'HU312';'3244'
'HU312';'3245'
'HU312';'3246'
'HU312';'3247'
'HU312';'3248'
'HU312';'3250'
'HU312';'3252'
'HU312';'3253'
'HU312';'3254'
'HU312';'3255'
'HU312';'3256'
'HU312';'3257'
'HU312';'3258'
'HU312';'3259'
'HU312';'3261'
'HU312';'3262'
'HU312';'3263'
'HU312';'3264'
'HU312';'3265'
'HU312';'3271'
'HU312';'3272'
'HU312';'3273'
'HU312';'3274'
'HU312';'3275'
'HU312';'3281'
'HU312';'3282'
'HU312';'3283'
'HU312';'3284'
'HU312';'3291'
'HU312';'3292'
'HU312';'3293'
'HU312';'3294'
'HU312';'3295'
'HU312';'3296'
'HU312';'3300'
'HU312';'3321'
'HU312';'3322'
'HU312';'3323'
'HU312';'3324'
'HU312';'3325'
'HU312';'3326'
'HU312';'3327'
'HU312';'3328'
'HU312';'3331'
'HU312';'3332'
'HU312';'3333'
'HU312';'3334'
'HU312';'3335'
'HU312';'3336'
'HU312';'3337'
'HU312';'3341'
'HU312';'3343'
'HU312';'3344'
'HU312';'3345'
'HU312';'3346'
'HU312';'3347'
'HU312';'3348'
'HU312';'3349'
'HU312';'3350'
'HU312';'3351'
'HU312';'3352'
'HU312';'3353'
'HU312';'3354'
'HU312';'3355'
'HU312';'3356'
'HU312';'3357'
'HU312';'3358'
'HU312';'3359'
'HU312';'3360'
'HU312';'3368'
'HU312';'3369'
'HU312';'3371'
'HU312';'3372'
'HU312';'3373'
'HU312';'3374'
'HU312';'3375'
'HU312';'3377'
'HU312';'3378'
'HU312';'3379'
'HU312';'3381'
'HU312';'3382'
'HU312';'3383'
'HU312';'3384'
'HU312';'3385'
'HU312';'3386'
'HU312';'3387'
'HU312';'3388'
'HU312';'3390'
'HU312';'3394'
'HU312';'3395'
'HU312';'3396'
'HU312';'3397'
'HU312';'3398'
'HU312';'3399'
'HU333';'6600'
'HU333';'6612'
'HU333';'6621'
'HU333';'6622'
'HU333';'6623'
'HU333';'6624'
'HU333';'6625'
'HU333';'6630'
'HU333';'6635'
'HU333';'6636'
'HU333';'6640'
'HU333';'6645'
'HU333';'6646'
'HU333';'6647'
'HU333';'6648'
'HU333';'6700'
'HU333';'6710'
'HU333';'6720'
'HU333';'6721'
'HU333';'6722'
'HU333';'6723'
'HU333';'6724'
'HU333';'6725'
'HU333';'6726'
'HU333';'6727'
'HU333';'6728'
'HU333';'6729'
'HU333';'6750'
'HU333';'6753'
'HU333';'6754'
'HU333';'6755'
'HU333';'6756'
'HU333';'6757'
'HU333';'6758'
'HU333';'6760'
'HU333';'6762'
'HU333';'6763'
'HU333';'6764'
'HU333';'6765'
'HU333';'6766'
'HU333';'6767'
'HU333';'6768'
'HU333';'6769'
'HU333';'6771'
'HU333';'6772'
'HU333';'6773'
'HU333';'6774'
'HU333';'6775'
'HU333';'6781'
'HU333';'6782'
'HU333';'6783'
'HU333';'6784'
'HU333';'6785'
'HU333';'6786'
'HU333';'6787'
'HU333';'6791'
'HU333';'6792'
'HU333';'6793'
'HU333';'6794'
'HU333';'6795'
'HU333';'6800'
'HU333';'6805'
'HU333';'6806'
'HU333';'6821'
'HU333';'6900'
'HU333';'6903'
'HU333';'6911'
'HU333';'6912'
'HU333';'6913'
'HU333';'6914'
'HU333';'6915'
'HU333';'6916'
'HU333';'6917'
'HU333';'6921'
'HU333';'6922'
'HU333';'6923'
'HU333';'6931'
'HU333';'6932'
'HU110';'1007'
'HU110';'1011'
'HU110';'1012'
'HU110';'1013'
'HU110';'1014'
'HU110';'1015'
'HU110';'1016'
'HU110';'1021'
'HU110';'1022'
'HU110';'1023'
'HU110';'1024'
'HU110';'1025'
'HU110';'1026'
'HU110';'1027'
'HU110';'1028'
'HU110';'1029'
'HU110';'1031'
'HU110';'1032'
'HU110';'1033'
'HU110';'1034'
'HU110';'1035'
'HU110';'1036'
'HU110';'1037'
'HU110';'1038'
'HU110';'1039'
'HU110';'1041'
'HU110';'1042'
'HU110';'1043'
'HU110';'1044'
'HU110';'1045'
'HU110';'1046'
'HU110';'1047'
'HU110';'1048'
'HU110';'1051'
'HU110';'1052'
'HU110';'1053'
'HU110';'1054'
'HU110';'1055'
'HU110';'1056'
'HU110';'1061'
'HU110';'1062'
'HU110';'1063'
'HU110';'1064'
'HU110';'1065'
'HU110';'1066'
'HU110';'1067'
'HU110';'1068'
'HU110';'1071'
'HU110';'1072'
'HU110';'1073'
'HU110';'1074'
'HU110';'1075'
'HU110';'1076'
'HU110';'1077'
'HU110';'1078'
'HU110';'1081'
'HU110';'1082'
'HU110';'1083'
'HU110';'1084'
'HU110';'1085'
'HU110';'1086'
'HU110';'1087'
'HU110';'1088'
'HU110';'1089'
'HU110';'1091'
'HU110';'1092'
'HU110';'1093'
'HU110';'1094'
'HU110';'1095'
'HU110';'1096'
'HU110';'1097'
'HU110';'1098'
'HU110';'1101'
'HU110';'1102'
'HU110';'1103'
'HU110';'1104'
'HU110';'1105'
'HU110';'1106'
'HU110';'1107'
'HU110';'1108'
'HU110';'1111'
'HU110';'1112'
'HU110';'1113'
'HU110';'1114'
'HU110';'1115'
'HU110';'1116'
'HU110';'1117'
'HU110';'1118'
'HU110';'1119'
'HU110';'1121'
'HU110';'1122'
'HU110';'1123'
'HU110';'1124'
'HU110';'1125'
'HU110';'1126'
'HU110';'1131'
'HU110';'1132'
'HU110';'1133'
'HU110';'1134'
'HU110';'1135'
'HU110';'1136'
'HU110';'1137'
'HU110';'1138'
'HU110';'1139'
'HU110';'1141'
'HU110';'1142'
'HU110';'1143'
'HU110';'1144'
'HU110';'1145'
'HU110';'1146'
'HU110';'1147'
'HU110';'1148'
'HU110';'1149'
'HU110';'1151'
'HU110';'1152'
'HU110';'1153'
'HU110';'1154'
'HU110';'1155'
'HU110';'1156'
'HU110';'1157'
'HU110';'1158'
'HU110';'1161'
'HU110';'1162'
'HU110';'1163'
'HU110';'1164'
'HU110';'1165'
'HU110';'1171'
'HU110';'1172'
'HU110';'1173'
'HU110';'1174'
'HU110';'1181'
'HU110';'1182'
'HU110';'1183'
'HU110';'1184'
'HU110';'1185'
'HU110';'1186'
'HU110';'1188'
'HU110';'1191'
'HU110';'1192'
'HU110';'1193'
'HU110';'1194'
'HU110';'1195'
'HU110';'1196'
'HU110';'1201'
'HU110';'1202'
'HU110';'1203'
'HU110';'1204'
'HU110';'1205'
'HU110';'1211'
'HU110';'1212'
'HU110';'1213'
'HU110';'1214'
'HU110';'1215'
'HU110';'1221'
'HU110';'1222'
'HU110';'1223'
'HU110';'1224'
'HU110';'1225'
'HU110';'1237'
'HU110';'1238'
'HU110';'1239'
'HU120';'2000'
'HU120';'2009'
'HU120';'2011'
'HU120';'2013'
'HU120';'2014'
'HU120';'2015'
'HU120';'2016'
'HU120';'2017'
'HU120';'2021'
'HU120';'2022'
'HU120';'2023'
'HU120';'2024'
'HU120';'2025'
'HU120';'2026'
'HU120';'2030'
'HU120';'2038'
'HU120';'2039'
'HU120';'2040'
'HU120';'2045'
'HU120';'2049'
'HU120';'2051'
'HU120';'2053'
'HU120';'2071'
'HU120';'2072'
'HU120';'2073'
'HU120';'2074'
'HU120';'2080'
'HU120';'2081'
'HU120';'2083'
'HU120';'2084'
'HU120';'2085'
'HU120';'2086'
'HU120';'2089'
'HU120';'2090'
'HU120';'2092'
'HU120';'2093'
'HU120';'2094'
'HU120';'2095'
'HU120';'2096'
'HU120';'2097'
'HU120';'2098'
'HU120';'2099'
'HU120';'2100'
'HU120';'2111'
'HU120';'2112'
'HU120';'2113'
'HU120';'2114'
'HU120';'2115'
'HU120';'2116'
'HU120';'2117'
'HU120';'2118'
'HU120';'2119'
'HU120';'2120'
'HU120';'2131'
'HU120';'2132'
'HU120';'2133'
'HU120';'2134'
'HU120';'2135'
'HU120';'2141'
'HU120';'2142'
'HU120';'2143'
'HU120';'2144'
'HU120';'2145'
'HU120';'2146'
'HU120';'2151'
'HU120';'2161'
'HU120';'2162'
'HU120';'2163'
'HU120';'2164'
'HU120';'2165'
'HU120';'2166'
'HU120';'2167'
'HU120';'2170'
'HU120';'2173'
'HU120';'2174'
'HU120';'2181'
'HU120';'2182'
'HU120';'2183'
'HU120';'2184'
'HU120';'2185'
'HU120';'2191'
'HU120';'2192'
'HU120';'2193'
'HU120';'2194'
'HU120';'2200'
'HU120';'2209'
'HU120';'2211'
'HU120';'2212'
'HU120';'2213'
'HU120';'2214'
'HU120';'2215'
'HU120';'2216'
'HU120';'2217'
'HU120';'2220'
'HU120';'2225'
'HU120';'2230'
'HU120';'2233'
'HU120';'2234'
'HU120';'2235'
'HU120';'2241'
'HU120';'2242'
'HU120';'2243'
'HU120';'2244'
'HU120';'2251'
'HU120';'2252'
'HU120';'2253'
'HU120';'2254'
'HU120';'2255'
'HU120';'2300'
'HU120';'2309'
'HU120';'2310'
'HU120';'2314'
'HU120';'2315'
'HU120';'2316'
'HU120';'2317'
'HU120';'2318'
'HU120';'2319'
'HU120';'2321'
'HU120';'2322'
'HU120';'2330'
'HU120';'2335'
'HU120';'2336'
'HU120';'2337'
'HU120';'2338'
'HU120';'2339'
'HU120';'2340'
'HU120';'2344'
'HU120';'2345'
'HU120';'2347'
'HU120';'2351'
'HU120';'2360'
'HU120';'2363'
'HU120';'2364'
'HU120';'2365'
'HU120';'2366'
'HU120';'2367'
'HU120';'2370'
'HU120';'2371'
'HU120';'2373'
'HU120';'2375'
'HU120';'2376'
'HU120';'2377'
'HU120';'2378'
'HU120';'2381'
'HU120';'2440'
'HU120';'2461'
'HU120';'2600'
'HU120';'2612'
'HU120';'2613'
'HU120';'2614'
'HU120';'2615'
'HU120';'2621'
'HU120';'2623'
'HU120';'2624'
'HU120';'2625'
'HU120';'2626'
'HU120';'2627'
'HU120';'2628'
'HU120';'2629'
'HU120';'2631'
'HU120';'2632'
'HU120';'2633'
'HU120';'2634'
'HU120';'2635'
'HU120';'2636'
'HU120';'2637'
'HU120';'2638'
'HU120';'2639'
'HU120';'2681'
'HU120';'2682'
'HU120';'2683'
'HU120';'2700'
'HU120';'2711'
'HU120';'2712'
'HU120';'2713'
'HU120';'2721'
'HU120';'2723'
'HU120';'2724'
'HU120';'2730'
'HU120';'2735'
'HU120';'2736'
'HU120';'2737'
'HU120';'2738'
'HU120';'2740'
'HU120';'2745'
'HU120';'2746'
'HU120';'2747'
'HU120';'2750'
'HU120';'2755'
'HU120';'2760'
'HU120';'2764'
'HU120';'2765'
'HU120';'2766'
'HU120';'2767'
'HU120';'2768'
'HU120';'2769'
'HU211';'2060'
'HU211';'2063'
'HU211';'2064'
'HU211';'2065'
'HU211';'2066'
'HU211';'2091'
'HU211';'2400'
'HU211';'2407'
'HU211';'2421'
'HU211';'2422'
'HU211';'2423'
'HU211';'2424'
'HU211';'2425'
'HU211';'2426'
'HU211';'2427'
'HU211';'2428'
'HU211';'2431'
'HU211';'2432'
'HU211';'2433'
'HU211';'2434'
'HU211';'2435'
'HU211';'2451'
'HU211';'2453'
'HU211';'2454'
'HU211';'2455'
'HU211';'2456'
'HU211';'2457'
'HU211';'2458'
'HU211';'2459'
'HU211';'2462'
'HU211';'2463'
'HU211';'2464'
'HU211';'2465'
'HU211';'2471'
'HU211';'2472'
