NUTS3;CODE
'IE061';'A41'
'IE061';'A42'
'IE061';'A45'
'IE061';'A94'
'IE061';'A96'
'IE061';'D01'
'IE061';'D02'
'IE061';'D03'
'IE061';'D04'
'IE061';'D05'
'IE061';'D06'
'IE061';'D07'
'IE061';'D08'
'IE061';'D09'
'IE061';'D10'
'IE061';'D11'
'IE061';'D12'
'IE061';'D13'
'IE061';'D14'
'IE061';'D15'
'IE061';'D16'
'IE061';'D17'
'IE061';'D18'
'IE061';'D20'
'IE061';'D22'
'IE061';'D24'
'IE061';'D6W'
'IE061';'K36'
'IE061';'K45'
'IE061';'K56'
'IE061';'K67'
'IE061';'K78'
'IE041';'A75'
'IE041';'A81'
'IE041';'F56'
'IE041';'F91'
'IE041';'F92'
'IE041';'F93'
'IE041';'F94'
'IE041';'H12'
'IE041';'H14'
'IE041';'H16'
'IE041';'H18'
'IE041';'H23'
'IE041';'N41'
'IE042';'F12'
'IE042';'F23'
'IE042';'F26'
'IE042';'F28'
'IE042';'F31'
'IE042';'F35'
'IE042';'F42'
'IE042';'F45'
'IE042';'F52'
'IE042';'H53'
'IE042';'H54'
'IE042';'H62'
'IE042';'H65'
'IE042';'H71'
'IE042';'H91'
'IE051';'E21'
'IE051';'E25'
'IE051';'E32'
'IE051';'E34'
'IE051';'E41'
'IE051';'E45'
'IE051';'E53'
'IE051';'E91'
'IE051';'V14'
'IE051';'V15'
'IE051';'V35'
'IE051';'V42'
'IE051';'V94'
'IE051';'V95'
'IE052';'R21'
'IE052';'R93'
'IE052';'R95'
'IE052';'X42'
'IE052';'X91'
'IE052';'Y21'
'IE052';'Y25'
'IE052';'Y34'
'IE052';'Y35'
'IE053';'P12'
'IE053';'P17'
'IE053';'P24'
'IE053';'P25'
'IE053';'P31'
'IE053';'P32'
'IE053';'P36'
'IE053';'P43'
'IE053';'P47'
'IE053';'P51'
'IE053';'P56'
'IE053';'P61'
'IE053';'P67'
'IE053';'P72'
'IE053';'P75'
'IE053';'P81'
'IE053';'P85'
'IE053';'T12'
'IE053';'T23'
'IE053';'T34'
'IE053';'T45'
'IE053';'T56'
'IE053';'V23'
'IE053';'V31'
'IE053';'V92'
'IE053';'V93'
'IE062';'A63'
'IE062';'A67'
'IE062';'A82'
'IE062';'A83'
'IE062';'A84'
'IE062';'A85'
'IE062';'A86'
'IE062';'A91'
'IE062';'A92'
'IE062';'A98'
'IE062';'C15'
'IE062';'P14'
'IE062';'R14'
'IE062';'R51'
'IE062';'R56'
'IE062';'W12'
'IE062';'W23'
'IE062';'W34'
'IE062';'W91'
'IE062';'Y14'
'IE063';'N37'
'IE063';'N39'
'IE063';'N91'
'IE063';'R32'
'IE063';'R35'
'IE063';'R42'
'IE063';'R45'
'IE061';'K32'
'IE061';'K34'
