NUTS3;CODE
'LT011';'10001'
'LT011';'10004'
'LT011';'10007'
'LT011';'1001'
'LT011';'10013'
'LT011';'10100'
'LT011';'10101'
'LT011';'10102'
'LT011';'10103'
'LT011';'10104'
'LT011';'10105'
'LT011';'10106'
'LT011';'10107'
'LT011';'10108'
'LT011';'1013'
'LT011';'10150'
'LT011';'10151'
'LT011';'10152'
'LT011';'10153'
'LT011';'10154'
'LT011';'10156'
'LT011';'10200'
'LT011';'10201'
'LT011';'10202'
'LT011';'10203'
'LT011';'10204'
'LT011';'10205'
'LT011';'10206'
'LT011';'10207'
'LT011';'10208'
'LT011';'10209'
'LT011';'10210'
'LT011';'10211'
'LT011';'10212'
'LT011';'10213'
'LT011';'10214'
'LT011';'10215'
'LT011';'10216'
'LT011';'10217'
'LT011';'10218'
'LT011';'10219'
'LT011';'10220'
'LT011';'10221'
'LT011';'10222'
'LT011';'10223'
'LT011';'10224'
'LT011';'10225'
'LT011';'10226'
'LT011';'10227'
'LT011';'10228'
'LT011';'10229'
'LT011';'10230'
'LT011';'10231'
'LT011';'10232'
'LT011';'10233'
'LT011';'10234'
'LT011';'10235'
'LT011';'10236'
'LT011';'10237'
'LT011';'10238'
'LT011';'10239'
'LT011';'10240'
'LT011';'10241'
'LT011';'10242'
'LT011';'10243'
'LT011';'10244'
'LT011';'10245'
'LT011';'10246'
'LT011';'10247'
'LT011';'10249'
'LT011';'1025'
'LT011';'10300'
'LT011';'10301'
'LT011';'10302'
'LT011';'10303'
'LT011';'10304'
'LT011';'10305'
'LT011';'10306'
'LT011';'10307'
'LT011';'10308'
'LT011';'10309'
'LT011';'1031'
'LT011';'10310'
'LT011';'10311'
'LT011';'10312'
'LT011';'10313'
'LT011';'10314'
'LT011';'10315'
'LT011';'10316'
'LT011';'10317'
'LT011';'10318'
'LT011';'10319'
'LT011';'10320'
'LT011';'10321'
'LT011';'10322'
'LT011';'10323'
'LT011';'10324'
'LT011';'10325'
'LT011';'10326'
'LT011';'1047'
'LT011';'1100'
'LT011';'11001'
'LT011';'11005'
'LT011';'1101'
'LT011';'11010'
'LT011';'11013'
'LT011';'1102'
'LT011';'1103'
'LT011';'1104'
'LT011';'1105'
'LT011';'1106'
'LT011';'1107'
'LT011';'1108'
'LT011';'1109'
'LT011';'1110'
'LT011';'11100'
'LT011';'11101'
'LT011';'11102'
'LT011';'11103'
'LT011';'11104'
'LT011';'11105'
'LT011';'11106'
'LT011';'11107'
'LT011';'11108'
'LT011';'11109'
'LT011';'1111'
'LT011';'11110'
'LT011';'11111'
'LT011';'11112'
'LT011';'11113'
'LT011';'11114'
'LT011';'11115'
'LT011';'11116'
'LT011';'11117'
'LT011';'11118'
'LT011';'11119'
'LT011';'1112'
'LT011';'11121'
'LT011';'11122'
'LT011';'11123'
'LT011';'11124'
'LT011';'11125'
'LT011';'1113'
'LT011';'1114'
'LT011';'1115'
'LT011';'1116'
'LT011';'1117'
'LT011';'1118'
'LT011';'1119'
'LT011';'1120'
'LT011';'11200'
'LT011';'11201'
'LT011';'11202'
'LT011';'11203'
'LT011';'11204'
'LT011';'11205'
'LT011';'11206'
'LT011';'11207'
'LT011';'11208'
'LT011';'11209'
'LT011';'1121'
'LT011';'11210'
'LT011';'11211'
'LT011';'11212'
'LT011';'11213'
'LT011';'11214'
'LT011';'11215'
'LT011';'11216'
'LT011';'11217'
'LT011';'11218'
'LT011';'11219'
'LT011';'1122'
'LT011';'11220'
'LT011';'11221'
'LT011';'11222'
'LT011';'11223'
'LT011';'11224'
'LT011';'11225'
'LT011';'11226'
'LT011';'11227'
'LT011';'11228'
'LT011';'11229'
'LT011';'1123'
'LT011';'11230'
'LT011';'11231'
'LT011';'11232'
'LT011';'11233'
'LT011';'11234'
'LT011';'11235'
'LT011';'11238'
'LT011';'1124'
'LT011';'1125'
'LT011';'1126'
'LT011';'1127'
'LT011';'1128'
'LT011';'1129'
'LT011';'1130'
'LT011';'11300'
'LT011';'11301'
'LT011';'11302'
'LT011';'11303'
'LT011';'11305'
'LT011';'11306'
'LT011';'11307'
'LT011';'11308'
'LT011';'1131'
'LT011';'11310'
'LT011';'11311'
'LT011';'11312'
'LT011';'11313'
'LT011';'11314'
'LT011';'11315'
'LT011';'11316'
'LT011';'11317'
'LT011';'11318'
'LT011';'11319'
'LT011';'1132'
'LT011';'11321'
'LT011';'11322'
'LT011';'1133'
'LT011';'1134'
'LT011';'11341'
'LT011';'11342'
'LT011';'11343'
'LT011';'11344'
'LT011';'11345'
'LT011';'11346'
'LT011';'11347'
'LT011';'11348'
'LT011';'11349'
'LT011';'1135'
'LT011';'11350'
'LT011';'11351'
'LT011';'11352'
'LT011';'1136'
'LT011';'1137'
'LT011';'1138'
'LT011';'1139'
'LT011';'1140'
'LT011';'1141'
'LT011';'1143'
'LT011';'1144'
'LT011';'1200'
'LT011';'12001'
'LT011';'1201'
'LT011';'1202'
'LT011';'1203'
'LT011';'1204'
'LT011';'1205'
'LT011';'1206'
'LT011';'1207'
'LT011';'1208'
'LT011';'1209'
'LT011';'1210'
'LT011';'12100'
'LT011';'12101'
'LT011';'12102'
'LT011';'12103'
'LT011';'12104'
'LT011';'12105'
'LT011';'12106'
'LT011';'12107'
'LT011';'12109'
'LT011';'1211'
'LT011';'12111'
'LT011';'12112'
'LT011';'12113'
'LT011';'12114'
'LT011';'12115'
'LT011';'12116'
'LT011';'12117'
'LT011';'12118'
'LT011';'12119'
'LT011';'1212'
'LT011';'12120'
'LT011';'12121'
'LT011';'12122'
'LT011';'12123'
'LT011';'12124'
'LT011';'12125'
'LT011';'12126'
'LT011';'12127'
'LT011';'12128'
'LT011';'12129'
'LT011';'1213'
'LT011';'12130'
'LT011';'12131'
'LT011';'12133'
'LT011';'12135'
'LT011';'12136'
'LT011';'12137'
'LT011';'12138'
'LT011';'1214'
'LT011';'12140'
'LT011';'12141'
'LT011';'12142'
'LT011';'12143'
'LT011';'12144'
'LT011';'1215'
'LT011';'12186'
'LT011';'12187'
'LT011';'12188'
'LT011';'12189'
'LT011';'1300'
'LT011';'13001'
'LT011';'13004'
