NUTS3;CODE
'LU000';'3734'
'LU000';'5655'
'LU000';'5670'
'LU000';'1019'
'LU000';'1111'
'LU000';'1112'
'LU000';'1113'
'LU000';'1114'
'LU000';'1115'
'LU000';'1116'
'LU000';'1117'
'LU000';'1118'
'LU000';'1119'
'LU000';'1120'
'LU000';'1121'
'LU000';'1122'
'LU000';'1123'
'LU000';'1124'
'LU000';'1125'
'LU000';'1126'
'LU000';'1127'
'LU000';'1128'
'LU000';'1129'
'LU000';'1130'
'LU000';'1131'
'LU000';'1132'
'LU000';'1133'
'LU000';'1134'
'LU000';'1135'
'LU000';'1136'
'LU000';'1137'
'LU000';'1138'
'LU000';'1139'
'LU000';'1140'
'LU000';'1141'
'LU000';'1142'
'LU000';'1143'
'LU000';'1144'
'LU000';'1145'
'LU000';'1146'
'LU000';'1147'
'LU000';'1148'
'LU000';'1149'
'LU000';'1150'
'LU000';'1151'
'LU000';'1152'
'LU000';'1159'
'LU000';'1160'
'LU000';'1161'
'LU000';'1208'
'LU000';'1209'
'LU000';'1210'
'LU000';'1211'
'LU000';'1212'
'LU000';'1213'
'LU000';'1214'
'LU000';'1215'
'LU000';'1216'
'LU000';'1217'
'LU000';'1218'
'LU000';'1219'
'LU000';'1220'
'LU000';'1221'
'LU000';'1222'
'LU000';'1223'
'LU000';'1224'
'LU000';'1225'
'LU000';'1226'
'LU000';'1227'
'LU000';'1228'
'LU000';'1229'
'LU000';'1230'
'LU000';'1231'
'LU000';'1232'
'LU000';'1233'
'LU000';'1234'
'LU000';'1235'
'LU000';'1236'
'LU000';'1237'
'LU000';'1238'
'LU000';'1239'
'LU000';'1240'
'LU000';'1241'
'LU000';'1242'
'LU000';'1243'
'LU000';'1244'
'LU000';'1245'
'LU000';'1246'
'LU000';'1247'
'LU000';'1248'
'LU000';'1249'
'LU000';'1250'
'LU000';'1251'
'LU000';'1252'
'LU000';'1253'
'LU000';'1254'
'LU000';'1255'
'LU000';'1256'
'LU000';'1257'
'LU000';'1258'
'LU000';'1259'
'LU000';'1260'
'LU000';'1261'
'LU000';'1262'
'LU000';'1263'
