NUTS3;CODE
'MK000';'1000'
'MK000';'1010'
'MK000';'1011'
'MK000';'1020'
'MK000';'1040'
'MK000';'1041'
'MK000';'1042'
'MK000';'1043'
'MK000';'1044'
'MK000';'1045'
'MK000';'1047'
'MK000';'1050'
'MK000';'1053'
'MK000';'1054'
'MK000';'1060'
'MK000';'1062'
'MK000';'1063'
'MK000';'1200'
'MK000';'1201'
'MK000';'1203'
'MK000';'1206'
'MK000';'1211'
'MK000';'1212'
'MK000';'1213'
'MK000';'1214'
'MK000';'1215'
'MK000';'1216'
'MK000';'1218'
'MK000';'1219'
'MK000';'1220'
'MK000';'1221'
'MK000';'1224'
'MK000';'1225'
'MK000';'1226'
'MK000';'1227'
'MK000';'1228'
'MK000';'1230'
'MK000';'1231'
'MK000';'1234'
'MK000';'1235'
'MK000';'1236'
'MK000';'1237'
'MK000';'1238'
'MK000';'1239'
'MK000';'1250'
'MK000';'1254'
'MK000';'1255'
'MK000';'1256'
'MK000';'1257'
'MK000';'1258'
'MK000';'1300'
'MK000';'1302'
'MK000';'1303'
'MK000';'1304'
'MK000';'1305'
'MK000';'1306'
'MK000';'1307'
'MK000';'1308'
'MK000';'1309'
'MK000';'1312'
'MK000';'1314'
'MK000';'1315'
'MK000';'1316'
'MK000';'1322'
'MK000';'1323'
'MK000';'1324'
'MK000';'1325'
'MK000';'1330'
'MK000';'1332'
'MK000';'1333'
'MK000';'1334'
'MK000';'1335'
'MK000';'1360'
'MK000';'1361'
'MK000';'1400'
'MK000';'1406'
'MK000';'1407'
'MK000';'1408'
'MK000';'1413'
'MK000';'1414'
'MK000';'1415'
'MK000';'1420'
'MK000';'1421'
'MK000';'1422'
'MK000';'1423'
'MK000';'1424'
'MK000';'1426'
'MK000';'1427'
'MK000';'1430'
'MK000';'1434'
'MK000';'1437'
'MK000';'1440'
'MK000';'1441'
'MK000';'1442'
'MK000';'1443'
'MK000';'1480'
'MK000';'1483'
'MK000';'1484'
'MK000';'1485'
'MK000';'1487'
'MK000';'1488'
'MK000';'1489'
'MK000';'2000'
'MK000';'2207'
'MK000';'2208'
'MK000';'2210'
'MK000';'2212'
'MK000';'2220'
'MK000';'2225'
'MK000';'2227'
'MK000';'2300'
'MK000';'2301'
'MK000';'2302'
'MK000';'2304'
'MK000';'2305'
'MK000';'2307'
'MK000';'2310'
'MK000';'2312'
'MK000';'2314'
'MK000';'2315'
'MK000';'2316'
'MK000';'2320'
'MK000';'2325'
'MK000';'2326'
'MK000';'2330'
'MK000';'2331'
'MK000';'2332'
'MK000';'2333'
'MK000';'2400'
'MK000';'2410'
'MK000';'2411'
'MK000';'2412'
'MK000';'2413'
'MK000';'2414'
'MK000';'2416'
'MK000';'2420'
'MK000';'2423'
'MK000';'2424'
'MK000';'2430'
'MK000';'2431'
'MK000';'2432'
'MK000';'2433'
'MK000';'2434'
'MK000';'2435'
'MK000';'2436'
'MK000';'2460'
'MK000';'2461'
'MK000';'2464'
'MK000';'6000'
'MK000';'6245'
'MK000';'6250'
'MK000';'6253'
'MK000';'6254'
'MK000';'6255'
'MK000';'6256'
'MK000';'6257'
'MK000';'6258'
'MK000';'6259'
'MK000';'6260'
'MK000';'6261'
'MK000';'6262'
'MK000';'6306'
'MK000';'6322'
'MK000';'6330'
'MK000';'6333'
'MK000';'6334'
'MK000';'6335'
'MK000';'6336'
'MK000';'6337'
'MK000';'6338'
'MK000';'6339'
'MK000';'6341'
'MK000';'6342'
'MK000';'6344'
'MK000';'6346'
'MK000';'6530'
'MK000';'6533'
'MK000';'6535'
'MK000';'6539'
'MK000';'7000'
'MK000';'7202'
'MK000';'7204'
'MK000';'7205'
'MK000';'7211'
'MK000';'7212'
'MK000';'7213'
'MK000';'7214'
'MK000';'7215'
'MK000';'7216'
'MK000';'7221'
'MK000';'7223'
'MK000';'7224'
'MK000';'7225'
'MK000';'7240'
'MK000';'7241'
'MK000';'7242'
'MK000';'7244'
'MK000';'7245'
'MK000';'7310'
'MK000';'7313'
'MK000';'7314'
'MK000';'7315'
'MK000';'7316'
'MK000';'7317'
'MK000';'7318'
'MK000';'7319'
'MK000';'7320'
'MK000';'7500'
'MK000';'7504'
'MK000';'7505'
'MK000';'7506'
'MK000';'7507'
'MK000';'7508'
'MK000';'7509'
'MK000';'7512'
'MK000';'7514'
'MK000';'7524'
'MK000';'7525'
'MK000';'7537'
'MK000';'7550'
