NUTS3;CODE
'MT001';'ATD'
'MT001';'BBG'
'MT001';'BKR'
'MT001';'BML'
'MT001';'BRG'
'MT001';'BZN'
'MT001';'DGL'
'MT001';'FGR'
'MT001';'FRN'
'MT001';'GDJ'
'MT001';'GHR'
'MT001';'GXQ'
'MT001';'GZR'
'MT001';'HMR'
'MT001';'IKL'
'MT001';'ISL'
'MT001';'KKP'
'MT001';'KKR'
'MT001';'LJA'
'MT001';'LQA'
'MT001';'MDN'
'MT001';'MGR'
'MT001';'MLH'
'MT001';'MQB'
'MT001';'MRS'
'MT001';'MSD'
'MT001';'MSK'
'MT001';'MST'
'MT001';'MTF'
'MT001';'MTP'
'MT001';'MXK'
'MT001';'NXR'
'MT001';'PBK'
'MT001';'PLA'
'MT001';'PTA'
'MT001';'QRD'
'MT001';'QRM'
'MT001';'RBT'
'MT001';'SCM'
'MT001';'SFI'
'MT001';'SGN'
'MT001';'SGW'
'MT001';'SLC'
'MT001';'SLM'
'MT001';'SPB'
'MT001';'STJ'
'MT001';'SVR'
'MT001';'SWQ'
'MT001';'TXN'
'MT001';'VLT'
'MT001';'XBX'
'MT001';'XJR'
'MT001';'ZBG'
'MT001';'ZBR'
'MT001';'ZRQ'
'MT001';'ZTN'
'MT002';'FNT'
'MT002';'GRB'
'MT002';'GSM'
'MT002';'GSR'
'MT002';'KCM'
'MT002';'KMN'
'MT002';'MFN'
'MT002';'MXR'
'MT002';'NDR'
'MT002';'QLA'
'MT002';'SLZ'
'MT002';'SNT'
'MT002';'VCT'
'MT002';'XLN'
'MT002';'XRA'
'MT002';'XWK'
'MT002';'ZBB'
