NUTS3;CODE
'NO082';'1300'
'NO082';'1301'
'NO082';'1302'
'NO082';'1303'
'NO082';'1304'
'NO082';'1305'
'NO082';'1306'
'NO082';'1307'
'NO082';'1308'
'NO082';'1309'
'NO082';'1311'
'NO082';'1312'
'NO082';'1313'
'NO082';'1314'
'NO082';'1316'
'NO082';'1317'
'NO082';'1318'
'NO082';'1319'
'NO082';'1321'
'NO082';'1322'
'NO082';'1323'
'NO082';'1324'
'NO082';'1325'
'NO082';'1326'
'NO082';'1327'
'NO082';'1328'
'NO082';'1329'
'NO082';'1330'
'NO082';'1331'
'NO082';'1332'
'NO082';'1333'
'NO082';'1334'
'NO082';'1335'
'NO082';'1336'
'NO082';'1337'
'NO082';'1338'
'NO082';'1339'
'NO082';'1340'
'NO082';'1341'
'NO082';'1342'
'NO082';'1344'
'NO082';'1346'
'NO082';'1348'
'NO082';'1349'
'NO082';'1350'
'NO082';'1351'
'NO082';'1352'
'NO082';'1353'
'NO082';'1354'
'NO082';'1356'
'NO082';'1357'
'NO082';'1358'
'NO082';'1359'
'NO082';'1360'
'NO082';'1361'
'NO082';'1362'
'NO082';'1363'
'NO082';'1364'
'NO082';'1365'
'NO082';'1366'
'NO082';'1367'
'NO082';'1368'
'NO082';'1369'
'NO082';'1371'
'NO082';'1372'
'NO082';'1373'
'NO082';'1375'
'NO082';'1376'
'NO082';'1377'
'NO082';'1378'
'NO082';'1379'
'NO082';'1380'
'NO082';'1381'
'NO082';'1383'
'NO082';'1384'
'NO082';'1385'
'NO082';'1386'
'NO082';'1387'
'NO082';'1388'
'NO082';'1389'
'NO082';'1390'
'NO082';'1391'
'NO082';'1392'
'NO082';'1393'
'NO082';'1394'
'NO082';'1395'
'NO082';'1396'
'NO082';'1397'
'NO082';'1399'
'NO082';'1400'
'NO082';'1401'
'NO082';'1402'
'NO082';'1403'
'NO082';'1404'
'NO082';'1405'
'NO082';'1406'
'NO082';'1407'
'NO082';'1408'
'NO082';'1409'
'NO082';'1410'
'NO082';'1411'
'NO082';'1412'
'NO082';'1413'
'NO082';'1414'
'NO082';'1415'
'NO082';'1416'
'NO082';'1417'
'NO082';'1418'
'NO082';'1419'
'NO082';'1420'
'NO082';'1421'
'NO082';'1422'
'NO082';'1423'
'NO082';'1424'
'NO082';'1425'
'NO082';'1429'
'NO082';'1430'
'NO082';'1431'
'NO082';'1432'
'NO082';'1433'
'NO082';'1434'
'NO082';'1435'
'NO082';'1440'
'NO082';'1441'
'NO082';'1442'
'NO082';'1443'
'NO082';'1444'
'NO082';'1445'
'NO082';'1446'
'NO082';'1447'
'NO082';'1448'
'NO082';'1449'
'NO082';'1450'
'NO082';'1451'
'NO082';'1452'
'NO082';'1453'
'NO082';'1454'
'NO082';'1455'
'NO082';'1456'
'NO082';'1457'
'NO082';'1458'
'NO082';'1459'
'NO082';'1461'
'NO082';'1462'
'NO082';'1463'
'NO082';'1464'
'NO082';'1465'
'NO082';'1466'
'NO082';'1467'
'NO082';'1468'
'NO082';'1469'
'NO082';'1470'
'NO082';'1471'
'NO082';'1472'
'NO082';'1473'
'NO082';'1474'
'NO082';'1475'
'NO082';'1476'
'NO082';'1477'
'NO082';'1478'
'NO082';'1479'
'NO082';'1480'
'NO082';'1481'
'NO082';'1482'
'NO082';'1483'
'NO082';'1484'
'NO082';'1485'
'NO082';'1486'
'NO082';'1487'
'NO082';'1488'
'NO082';'1501'
'NO082';'1502'
'NO082';'1503'
'NO082';'1504'
'NO082';'1506'
'NO082';'1508'
'NO082';'1509'
'NO082';'1510'
'NO082';'1511'
'NO082';'1512'
'NO082';'1513'
'NO082';'1514'
'NO082';'1515'
'NO082';'1516'
'NO082';'1517'
'NO082';'1518'
'NO082';'1519'
'NO082';'1520'
'NO082';'1521'
'NO082';'1522'
'NO082';'1523'
'NO082';'1524'
'NO082';'1525'
'NO082';'1526'
'NO082';'1528'
'NO082';'1529'
'NO082';'1530'
'NO082';'1531'
'NO082';'1532'
'NO082';'1533'
'NO082';'1534'
'NO082';'1535'
'NO082';'1536'
'NO082';'1537'
'NO082';'1538'
'NO082';'1539'
'NO082';'1540'
'NO082';'1541'
'NO082';'1542'
'NO082';'1543'
'NO082';'1544'
'NO082';'1545'
'NO082';'1550'
'NO082';'1555'
'NO082';'1556'
'NO082';'1560'
'NO082';'1561'
'NO082';'1570'
'NO082';'1580'
'NO082';'1581'
'NO082';'1590'
'NO082';'1591'
'NO082';'1592'
'NO082';'1593'
'NO082';'1594'
'NO082';'1596'
'NO082';'1597'
'NO082';'1598'
'NO082';'1599'
'NO082';'1601'
'NO082';'1602'
'NO082';'1604'
'NO082';'1605'
'NO082';'1606'
'NO082';'1607'
'NO082';'1608'
'NO082';'1609'
'NO082';'1610'
'NO082';'1612'
'NO082';'1613'
'NO082';'1614'
'NO082';'1615'
'NO082';'1616'
'NO082';'1617'
'NO082';'1618'
'NO082';'1619'
'NO082';'1620'
'NO082';'1621'
'NO082';'1622'
'NO082';'1623'
'NO082';'1624'
'NO082';'1625'
'NO082';'1626'
'NO082';'1628'
'NO082';'1629'
