NUTS3;CODE
'SE110';'100 05'
'SE110';'100 12'
'SE110';'100 26'
'SE110';'100 28'
'SE110';'100 29'
'SE110';'100 31'
'SE110';'100 40'
'SE110';'100 41'
'SE110';'100 44'
'SE110';'100 52'
'SE110';'100 54'
'SE110';'100 55'
'SE110';'100 61'
'SE110';'100 64'
'SE110';'100 73'
'SE110';'100 74'
'SE110';'101 01'
'SE110';'101 10'
'SE110';'101 20'
'SE110';'101 21'
'SE110';'101 22'
'SE110';'101 23'
'SE110';'101 24'
'SE110';'101 25'
'SE110';'101 26'
'SE110';'101 27'
'SE110';'101 28'
'SE110';'101 29'
'SE110';'101 30'
'SE110';'101 31'
'SE110';'101 32'
'SE110';'101 33'
'SE110';'101 34'
'SE110';'101 35'
'SE110';'101 36'
'SE110';'101 37'
'SE110';'101 38'
'SE110';'101 39'
'SE110';'101 52'
'SE110';'101 53'
'SE110';'101 54'
'SE110';'101 55'
'SE110';'101 56'
'SE110';'101 58'
'SE110';'101 59'
'SE110';'102 04'
'SE110';'102 14'
'SE110';'102 15'
'SE110';'102 16'
'SE110';'102 18'
'SE110';'102 21'
'SE110';'102 22'
'SE110';'102 23'
'SE110';'102 24'
'SE110';'102 25'
'SE110';'102 26'
'SE110';'102 27'
'SE110';'102 28'
'SE110';'102 29'
'SE110';'102 31'
'SE110';'102 32'
'SE110';'102 33'
'SE110';'102 34'
'SE110';'102 35'
'SE110';'102 39'
'SE110';'102 40'
'SE110';'102 41'
'SE110';'102 42'
'SE110';'102 43'
'SE110';'102 44'
'SE110';'102 45'
'SE110';'102 46'
'SE110';'102 47'
'SE110';'102 48'
'SE110';'102 49'
'SE110';'102 51'
'SE110';'102 52'
'SE110';'102 53'
'SE110';'102 54'
'SE110';'102 61'
'SE110';'102 62'
'SE110';'102 63'
'SE110';'102 64'
'SE110';'102 65'
'SE110';'102 66'
'SE110';'102 67'
'SE110';'102 68'
'SE110';'102 69'
'SE110';'102 70'
'SE110';'102 71'
'SE110';'102 72'
'SE110';'102 73'
'SE110';'102 74'
'SE110';'103 01'
'SE110';'103 02'
'SE110';'103 03'
'SE110';'103 04'
'SE110';'103 05'
'SE110';'103 06'
'SE110';'103 07'
'SE110';'103 10'
'SE110';'103 11'
'SE110';'103 12'
'SE110';'103 13'
'SE110';'103 14'
'SE110';'103 15'
'SE110';'103 16'
'SE110';'103 17'
'SE110';'103 18'
'SE110';'103 20'
'SE110';'103 21'
'SE110';'103 22'
'SE110';'103 23'
'SE110';'103 24'
'SE110';'103 25'
'SE110';'103 26'
'SE110';'103 27'
'SE110';'103 29'
'SE110';'103 32'
'SE110';'103 33'
'SE110';'103 34'
'SE110';'103 35'
'SE110';'103 36'
'SE110';'103 37'
'SE110';'103 38'
'SE110';'103 39'
'SE110';'103 50'
'SE110';'103 51'
'SE110';'103 52'
'SE110';'103 54'
'SE110';'103 55'
'SE110';'103 60'
'SE110';'103 61'
'SE110';'103 62'
'SE110';'103 63'
'SE110';'103 64'
'SE110';'103 65'
'SE110';'103 66'
'SE110';'103 67'
'SE110';'103 68'
'SE110';'103 69'
'SE110';'103 70'
'SE110';'103 71'
'SE110';'103 72'
'SE110';'103 73'
'SE110';'103 74'
'SE110';'103 75'
'SE110';'103 76'
'SE110';'103 77'
'SE110';'103 78'
'SE110';'103 79'
'SE110';'103 80'
'SE110';'103 82'
'SE110';'103 83'
'SE110';'103 84'
'SE110';'103 85'
'SE110';'103 86'
'SE110';'103 87'
'SE110';'103 88'
'SE110';'103 89'
'SE110';'103 90'
'SE110';'103 91'
'SE110';'103 92'
'SE110';'103 93'
'SE110';'103 94'
'SE110';'103 95'
'SE110';'103 96'
'SE110';'103 97'
'SE110';'103 98'
'SE110';'103 99'
'SE110';'104 05'
'SE110';'104 06'
'SE110';'104 20'
'SE110';'104 22'
'SE110';'104 25'
'SE110';'104 30'
'SE110';'104 31'
'SE110';'104 32'
'SE110';'104 35'
'SE110';'104 40'
'SE110';'104 41'
'SE110';'104 50'
'SE110';'104 51'
'SE110';'104 60'
'SE110';'104 62'
'SE110';'104 65'
'SE110';'105 00'
'SE110';'105 04'
'SE110';'105 06'
'SE110';'105 07'
'SE110';'105 10'
'SE110';'105 11'
'SE110';'105 12'
'SE110';'105 15'
'SE110';'105 16'
'SE110';'105 17'
'SE110';'105 18'
'SE110';'105 19'
'SE110';'105 20'
'SE110';'105 21'
'SE110';'105 22'
'SE110';'105 23'
'SE110';'105 24'
'SE110';'105 25'
'SE110';'105 31'
'SE110';'105 32'
'SE110';'105 33'
'SE110';'105 34'
'SE110';'105 35'
'SE110';'105 36'
'SE110';'105 39'
'SE110';'105 40'
'SE110';'105 44'
'SE110';'105 45'
'SE110';'105 46'
'SE110';'105 47'
'SE110';'105 49'
'SE110';'105 50'
'SE110';'105 52'
'SE110';'105 53'
'SE110';'105 60'
'SE110';'105 61'
'SE110';'105 69'
'SE110';'105 71'
'SE110';'105 73'
'SE110';'105 74'
'SE110';'105 78'
'SE110';'106 10'
'SE110';'106 11'
'SE110';'106 12'
'SE110';'106 14'
'SE110';'106 18'
'SE110';'106 20'
'SE110';'106 26'
'SE110';'106 27'
'SE110';'106 29'
'SE110';'106 30'
'SE110';'106 32'
'SE110';'106 35'
'SE110';'106 36'
'SE110';'106 37'
'SE110';'106 38'
'SE110';'106 40'
'SE110';'106 42'
'SE110';'106 43'
'SE110';'106 47'
'SE110';'106 48'
'SE110';'106 50'
'SE110';'106 53'
'SE110';'106 54'
'SE110';'106 55'
'SE110';'106 58'
'SE110';'106 60'
'SE110';'106 61'
'SE110';'106 63'
'SE110';'106 64'
'SE110';'106 65'
'SE110';'106 67'
'SE110';'106 70'
'SE110';'106 75'
'SE110';'106 77'
'SE110';'106 78'
'SE110';'106 80'
'SE110';'106 82'
'SE110';'106 88'
'SE110';'106 91'
'SE110';'107 07'
'SE110';'107 10'
'SE110';'107 21'
'SE110';'107 22'
'SE110';'107 23'
'SE110';'107 24'
'SE110';'107 25'
'SE110';'107 26'
'SE110';'107 60'
'SE110';'107 80'
'SE110';'107 81'
'SE110';'107 85'
'SE110';'107 86'
'SE110';'107 88'
'SE110';'107 90'
'SE110';'107 95'
'SE110';'107 96'
'SE110';'109 00'
'SE110';'109 01'
'SE110';'109 02'
'SE110';'109 03'
'SE110';'109 04'
'SE110';'109 05'
'SE110';'109 06'
'SE110';'109 07'
'SE110';'109 08'
'SE110';'109 09'
'SE110';'109 10'
'SE110';'109 11'
'SE110';'109 12'
'SE110';'109 13'
'SE110';'109 14'
'SE110';'109 15'
'SE110';'109 16'
'SE110';'109 17'
'SE110';'109 18'
'SE110';'109 19'
'SE110';'109 20'
'SE110';'109 21'
'SE110';'109 22'
'SE110';'109 23'
'SE110';'109 24'
'SE110';'109 25'
'SE110';'109 26'
'SE110';'109 27'
'SE110';'109 28'
'SE110';'109 29'
'SE110';'109 30'
'SE110';'109 31'
'SE110';'109 32'
'SE110';'109 33'
'SE110';'109 34'
'SE110';'109 35'
'SE110';'109 36'
'SE110';'109 37'
'SE110';'109 38'
'SE110';'109 39'
'SE110';'109 40'
'SE110';'109 41'
'SE110';'109 42'
'SE110';'109 43'
'SE110';'109 44'
'SE110';'109 45'
'SE110';'109 46'
'SE110';'109 47'
'SE110';'109 48'
'SE110';'109 49'
'SE110';'109 50'
'SE110';'109 51'
'SE110';'109 52'
'SE110';'109 53'
'SE110';'109 54'
'SE110';'109 55'
'SE110';'109 56'
'SE110';'109 57'
'SE110';'109 58'
'SE110';'109 59'
'SE110';'109 60'
'SE110';'109 61'
'SE110';'109 62'
'SE110';'109 63'
'SE110';'109 64'
'SE110';'109 65'
'SE110';'109 66'
'SE110';'109 67'
'SE110';'109 68'
'SE110';'109 69'
'SE110';'109 70'
'SE110';'109 71'
'SE110';'109 72'
'SE110';'109 73'
'SE110';'109 74'
'SE110';'109 75'
'SE110';'109 76'
'SE110';'109 77'
'SE110';'109 78'
'SE110';'109 79'
'SE110';'109 80'
'SE110';'109 81'
'SE110';'109 82'
'SE110';'109 83'
'SE110';'109 84'
'SE110';'109 85'
'SE110';'109 86'
'SE110';'109 87'
'SE110';'109 88'
'SE110';'109 89'
'SE110';'109 90'
'SE110';'109 91'
'SE110';'109 92'
'SE110';'109 93'
'SE110';'109 94'
'SE110';'109 95'
'SE110';'109 96'
'SE110';'109 97'
'SE110';'109 98'
'SE110';'109 99'
'SE110';'110 00'
'SE110';'110 01'
'SE110';'110 02'
'SE110';'110 03'
'SE110';'110 04'
'SE110';'110 05'
'SE110';'110 06'
'SE110';'110 07'
