NUTS3;CODE
'SK010';'81101'
'SK010';'81102'
'SK010';'81103'
'SK010';'81104'
'SK010';'81105'
'SK010';'81106'
'SK010';'81107'
'SK010';'81108'
'SK010';'81109'
'SK010';'82101'
'SK010';'82102'
'SK010';'82103'
'SK010';'82104'
'SK010';'82105'
'SK010';'82106'
'SK010';'82107'
'SK010';'82108'
'SK010';'82109'
'SK010';'83000'
'SK010';'83005'
'SK010';'83101'
'SK010';'83102'
'SK010';'83103'
'SK010';'83104'
'SK010';'83106'
'SK010';'83107'
'SK010';'83151'
'SK010';'83152'
'SK010';'83153'
'SK010';'83154'
'SK010';'84002'
'SK010';'84008'
'SK010';'84101'
'SK010';'84102'
'SK010';'84103'
'SK010';'84104'
'SK010';'84105'
'SK010';'84106'
'SK010';'84107'
'SK010';'84108'
'SK010';'84110'
'SK010';'85101'
'SK010';'85102'
'SK010';'85103'
'SK010';'85104'
'SK010';'85105'
'SK010';'85106'
'SK010';'85107'
'SK010';'85110'
'SK010';'90001'
'SK010';'90021'
'SK010';'90023'
'SK010';'90024'
'SK010';'90025'
'SK010';'90026'
'SK010';'90027'
'SK010';'90028'
'SK010';'90029'
'SK010';'90031'
'SK010';'90033'
'SK010';'90041'
'SK010';'90042'
'SK010';'90043'
'SK010';'90044'
'SK010';'90045'
'SK010';'90046'
'SK010';'90050'
'SK010';'90051'
'SK010';'90052'
'SK010';'90054'
'SK010';'90055'
'SK010';'90061'
'SK010';'90062'
'SK010';'90063'
'SK010';'90064'
'SK010';'90066'
'SK010';'90067'
'SK010';'90068'
'SK010';'90081'
'SK010';'90082'
'SK010';'90083'
'SK010';'90084'
'SK010';'90085'
'SK010';'90086'
'SK010';'90088'
'SK010';'90089'
'SK010';'90090'
'SK010';'90091'
'SK010';'90101'
'SK010';'90201'
'SK010';'90203'
'SK010';'90301'
'SK010';'90621'
'SK010';'90636'
'SK010';'90637'
'SK010';'90638'
'SK010';'90872'
'SK010';'90874'
'SK010';'92526'
'SK021';'90501'
'SK021';'90602'
'SK021';'90603'
'SK021';'90604'
'SK021';'90605'
'SK021';'90607'
'SK021';'90611'
'SK021';'90612'
'SK021';'90631'
'SK021';'90632'
'SK021';'90633'
'SK021';'90634'
'SK021';'90635'
'SK021';'90645'
'SK021';'90801'
'SK021';'90841'
'SK021';'90842'
'SK021';'90843'
'SK021';'90844'
'SK021';'90845'
'SK021';'90846'
'SK021';'90847'
'SK021';'90848'
'SK021';'90849'
'SK021';'90851'
'SK021';'90862'
'SK021';'90863'
'SK021';'90864'
'SK021';'90865'
'SK021';'90871'
