NUTS3;CODE
'TR521';'42005'
'TR521';'42010'
'TR521';'42020'
'TR521';'42030'
'TR521';'42040'
'TR521';'42050'
'TR521';'42060'
'TR521';'42070'
'TR521';'42080'
'TR521';'42090'
'TR521';'42100'
'TR521';'42110'
'TR521';'42132'
'TR521';'42140'
'TR521';'42208'
'TR521';'42250'
'TR521';'42280'
'TR521';'42285'
'TR521';'42290'
'TR521';'42310'
'TR521';'42320'
'TR521';'42325'
'TR521';'42335'
'TR521';'42345'
'TR521';'42350'
'TR521';'42355'
'TR521';'42360'
'TR521';'42363'
'TR521';'42365'
'TR521';'42370'
'TR521';'42380'
'TR521';'42385'
'TR521';'42390'
'TR521';'42395'
'TR521';'42400'
'TR521';'42415'
'TR521';'42420'
'TR521';'42425'
'TR521';'42430'
'TR521';'42440'
'TR521';'42450'
'TR521';'42460'
'TR521';'42470'
'TR521';'42480'
'TR521';'42482'
'TR521';'42484'
'TR521';'42485'
'TR521';'42490'
'TR521';'42500'
'TR521';'42502'
'TR521';'42508'
'TR521';'42509'
'TR521';'42510'
'TR521';'42515'
'TR521';'42520'
'TR521';'42530'
'TR521';'42533'
'TR521';'42534'
'TR521';'42535'
'TR521';'42536'
'TR521';'42537'
'TR521';'42538'
'TR521';'42550'
'TR521';'42560'
'TR521';'42580'
'TR521';'42581'
'TR521';'42582'
'TR521';'42583'
'TR521';'42584'
'TR521';'42585'
'TR521';'42586'
'TR521';'42587'
'TR521';'42600'
'TR521';'42603'
'TR521';'42605'
'TR521';'42610'
'TR521';'42613'
'TR521';'42615'
'TR521';'42620'
'TR521';'42625'
'TR521';'42630'
'TR521';'42635'
'TR521';'42645'
'TR521';'42650'
'TR521';'42655'
'TR521';'42670'
'TR521';'42690'
'TR521';'42696'
'TR521';'42698'
'TR521';'42700'
'TR521';'42710'
'TR521';'42715'
'TR521';'42720'
'TR521';'42730'
'TR521';'42740'
'TR521';'42760'
'TR521';'42770'
'TR521';'42773'
'TR521';'42774'
'TR521';'42775'
'TR521';'42777'
'TR521';'42780'
'TR521';'42790'
'TR521';'42800'
'TR521';'42810'
'TR521';'42815'
'TR521';'42825'
'TR521';'42830'
'TR521';'42835'
'TR521';'42840'
'TR521';'42845'
'TR521';'42850'
'TR521';'42855'
'TR521';'42860'
'TR521';'42865'
'TR521';'42870'
'TR521';'42875'
'TR521';'42880'
'TR521';'42885'
'TR521';'42890'
'TR521';'42900'
'TR521';'42910'
'TR521';'42915'
'TR521';'42920'
'TR521';'42930'
'TR521';'42936'
'TR521';'42940'
'TR521';'42950'
'TR521';'42960'
'TR521';'42965'
'TR521';'42968'
'TR521';'42970'
'TR521';'42980'
'TR521';'99010'
'TR622';'33100'
'TR622';'33110'
'TR622';'33115'
'TR622';'33120'
'TR622';'33130'
'TR622';'33140'
'TR622';'33150'
'TR622';'33160'
'TR622';'33200'
'TR622';'33220'
'TR622';'33230'
'TR622';'33240'
'TR622';'33250'
'TR622';'33285'
'TR622';'33315'
'TR622';'33325'
'TR622';'33330'
'TR622';'33335'
'TR622';'33340'
'TR622';'33400'
'TR622';'33410'
'TR622';'33420'
'TR622';'33430'
'TR622';'33440'
'TR622';'33450'
'TR622';'33460'
'TR622';'33470'
'TR622';'33480'
'TR622';'33500'
'TR622';'33530'
'TR622';'33580'
'TR622';'33590'
